Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,33.1,34.6
0.1,41.7,39.6
0.15,44.5,43.300000000000004
0.2,48.0,48.300000000000004
0.25,48.1,47.6
0.3,51.300000000000004,53.900000000000006
0.35,57.900000000000006,53.2
0.4,54.300000000000004,55.400000000000006
0.45,57.2,55.0
0.5,53.7,51.900000000000006
0.55,52.6,55.7
0.6,49.7,50.300000000000004
0.65,55.1,56.2
0.7,50.900000000000006,54.1
0.75,56.800000000000004,56.900000000000006
0.8,61.6,62.300000000000004
0.85,68.60000000000001,68.4
0.9,64.9,67.7
0.95,71.2,72.0
1.0,78.5,76.5
1.05,87.5,92.10000000000001
1.1,87.60000000000001,88.10000000000001
1.15,85.9,86.30000000000001
1.2,89.0,89.30000000000001
1.25,92.2,91.7
1.3,92.30000000000001,91.80000000000001
1.35,85.60000000000001,85.10000000000001
1.4,84.30000000000001,85.30000000000001
1.45,84.60000000000001,78.5
1.5,82.30000000000001,77.4
1.55,83.30000000000001,83.2
1.6,92.5,91.30000000000001
1.65,95.10000000000001,95.60000000000001
1.7,97.4,98.5
1.75,97.5,97.2
1.8,95.4,98.60000000000001
1.85,98.4,99.80000000000001
1.9,94.4,98.5
1.95,95.60000000000001,96.4
2.0,97.4,98.30000000000001
2.05,97.60000000000001,98.4
2.1,106.9,104.60000000000001
2.15,101.80000000000001,105.10000000000001
2.2,109.60000000000001,106.5
2.25,111.0,107.7
2.3,123.0,123.9
2.35,114.80000000000001,115.80000000000001
2.4,111.0,113.30000000000001
2.45,114.80000000000001,114.7
2.5,120.80000000000001,120.2
2.55,111.80000000000001,113.80000000000001
2.6,117.0,120.80000000000001
2.65,115.60000000000001,117.2
2.7,118.9,119.10000000000001
2.75,110.80000000000001,110.5
2.8,110.30000000000001,110.4
2.85,123.7,124.5
2.9,127.5,129.0
2.95,127.80000000000001,130.0
3.0,135.6,132.8
3.05,127.4,129.6
3.1,129.9,131.70000000000002
3.15,138.0,136.9
3.2,142.8,138.9
3.25,144.20000000000002,149.70000000000002
3.3,154.4,149.20000000000002
3.35,153.9,157.20000000000002
3.4,156.5,159.9
3.45,167.5,162.3
3.5,162.20000000000002,168.3
3.55,175.3,175.60000000000002
3.6,170.5,170.9
3.65,178.0,170.3
3.7,180.70000000000002,181.20000000000002
3.75,182.70000000000002,182.0
3.8,177.9,178.10000000000002
3.85,183.20000000000002,180.5
3.9,191.0,187.8
3.95,190.20000000000002,188.5
4.0,196.9,191.60000000000002
4.05,193.5,193.9
4.1,197.60000000000002,203.20000000000002
4.15,209.8,204.5
4.2,204.8,202.60000000000002
4.25,217.60000000000002,216.10000000000002
4.3,221.8,218.4
4.35,217.3,214.20000000000002
4.4,224.5,219.5
4.45,229.4,226.5
4.5,227.0,228.60000000000002
4.55,229.70000000000002,236.10000000000002
4.6,231.9,230.20000000000002
4.65,242.20000000000002,244.4
4.7,243.3,241.8
4.75,244.4,245.60000000000002
4.8,259.6,252.60000000000002
4.85,255.3,258.6
4.9,254.0,251.20000000000002
4.95,259.2,254.4
5.0,260.1,257.0
5.05,270.5,269.2
5.1,268.90000000000003,273.8
5.15,268.2,270.3
5.2,260.2,267.0
