Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,32.300000000000004,30.5
0.1,39.300000000000004,36.9
0.15,45.1,43.1
0.2,49.400000000000006,48.0
0.25,61.2,59.2
0.3,61.400000000000006,62.800000000000004
0.35,59.1,58.6
0.4,54.2,51.2
0.45,53.1,52.800000000000004
0.5,53.400000000000006,56.2
0.55,59.800000000000004,58.800000000000004
0.6,59.0,61.0
0.65,57.900000000000006,57.1
0.7,59.900000000000006,60.900000000000006
0.75,57.800000000000004,59.6
0.8,57.2,57.5
0.85,55.0,53.900000000000006
0.9,61.0,60.5
0.95,57.900000000000006,56.5
1.0,55.900000000000006,50.6
1.05,55.2,54.5
1.1,54.2,53.300000000000004
1.15,57.400000000000006,61.800000000000004
1.2,63.1,63.300000000000004
1.25,68.4,69.5
1.3,75.4,73.3
1.35,77.5,78.7
1.4,74.60000000000001,77.4
1.45,77.0,78.5
1.5,77.4,78.2
1.55,71.5,69.8
1.6,63.2,63.400000000000006
1.65,60.2,60.900000000000006
1.7,59.2,57.900000000000006
1.75,56.5,60.900000000000006
1.8,59.1,57.6
1.85,57.6,59.0
1.9,53.800000000000004,53.900000000000006
1.95,55.5,52.2
2.0,57.900000000000006,54.900000000000006
2.05,58.2,59.900000000000006
2.1,62.400000000000006,58.800000000000004
2.15,55.900000000000006,55.5
2.2,61.6,60.300000000000004
2.25,57.400000000000006,54.0
2.3,64.0,60.0
2.35,61.800000000000004,62.5
2.4,55.2,58.800000000000004
2.45,58.5,58.800000000000004
2.5,58.7,60.800000000000004
2.55,66.2,70.60000000000001
2.6,75.2,77.30000000000001
2.65,76.60000000000001,76.4
2.7,69.3,70.8
2.75,70.9,68.10000000000001
2.8,74.2,76.4
2.85,73.3,74.3
2.9,76.5,79.5
2.95,84.9,85.7
3.0,88.9,88.30000000000001
3.05,88.0,83.4
3.1,90.80000000000001,92.80000000000001
3.15,97.5,93.9
3.2,97.2,97.5
3.25,92.5,91.80000000000001
3.3,97.0,94.0
3.35,103.0,100.0
3.4,99.30000000000001,98.9
3.45,102.7,100.2
3.5,112.10000000000001,108.10000000000001
3.55,114.10000000000001,111.5
3.6,109.5,112.4
3.65,120.80000000000001,117.9
3.7,117.80000000000001,119.30000000000001
3.75,114.2,117.5
3.8,115.10000000000001,111.9
3.85,122.4,121.4
3.9,114.5,116.60000000000001
3.95,104.4,104.9
4.0,105.0,107.4
4.05,113.7,116.10000000000001
4.1,111.60000000000001,114.4
4.15,114.4,116.30000000000001
4.2,113.30000000000001,112.7
4.25,122.4,123.4
4.3,132.1,131.0
4.35,136.6,135.3
4.4,135.1,133.5
4.45,137.3,135.1
4.5,139.0,136.0
4.55,143.20000000000002,147.70000000000002
4.6,142.0,145.20000000000002
4.65,147.1,148.70000000000002
4.7,150.6,155.4
4.75,157.60000000000002,160.4
4.8,157.4,160.10000000000002
4.85,153.0,151.5
4.9,156.0,156.5
4.95,154.70000000000002,152.4
5.0,158.9,158.0
5.05,162.70000000000002,166.10000000000002
5.1,164.20000000000002,165.4
5.15,166.0,171.20000000000002
5.2,180.20000000000002,180.10000000000002
5.25,185.4,184.8
5.3,178.5,181.0
5.35,181.10000000000002,184.3
5.4,181.9,177.3
5.45,180.8,178.70000000000002
5.5,169.8,167.70000000000002
5.55,172.9,176.60000000000002
5.6,177.10000000000002,176.9
5.65,186.3,188.8
