Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,30.0,31.200000000000003
0.1,46.300000000000004,43.0
0.15,46.6,46.1
0.2,50.0,46.1
0.25,54.5,55.300000000000004
0.3,56.7,57.300000000000004
0.35,53.1,52.400000000000006
0.4,58.6,58.2
0.45,63.6,61.5
0.5,62.7,63.1
0.55,61.800000000000004,60.6
0.6,66.0,66.2
0.65,70.4,72.2
0.7,73.10000000000001,69.3
0.75,73.5,73.60000000000001
0.8,76.10000000000001,78.0
0.85,77.10000000000001,77.60000000000001
0.9,82.80000000000001,81.2
0.95,84.4,83.2
1.0,82.10000000000001,81.2
1.05,80.9,80.60000000000001
1.1,81.9,82.4
1.15,82.5,81.4
1.2,85.9,85.9
1.25,93.7,91.7
1.3,91.4,92.10000000000001
1.35,90.2,91.2
1.4,92.7,95.60000000000001
1.45,94.9,96.2
1.5,92.60000000000001,94.2
1.55,87.2,87.10000000000001
1.6,93.0,94.2
1.65,98.10000000000001,96.2
1.7,96.0,98.30000000000001
1.75,102.80000000000001,101.60000000000001
1.8,105.30000000000001,104.4
1.85,106.7,108.30000000000001
1.9,102.80000000000001,106.0
1.95,98.9,98.5
2.0,104.5,107.7
2.05,101.5,104.4
2.1,101.0,100.7
2.15,106.10000000000001,102.10000000000001
2.2,99.30000000000001,100.0
2.25,100.7,104.10000000000001
2.3,113.4,108.80000000000001
2.35,110.30000000000001,111.2
2.4,115.2,114.0
2.45,117.10000000000001,121.80000000000001
2.5,119.10000000000001,123.9
2.55,118.10000000000001,124.60000000000001
2.6,122.10000000000001,124.10000000000001
2.65,135.4,134.5
2.7,133.1,138.8
2.75,140.4,138.6
2.8,154.20000000000002,155.70000000000002
2.85,153.4,161.20000000000002
2.9,156.5,150.70000000000002
2.95,158.3,156.4
3.0,154.5,159.20000000000002
3.05,158.20000000000002,157.9
3.1,160.60000000000002,161.10000000000002
3.15,159.10000000000002,155.5
3.2,161.8,163.3
3.25,173.4,172.4
3.3,171.70000000000002,170.60000000000002
3.35,174.60000000000002,172.3
3.4,177.9,174.10000000000002
3.45,179.70000000000002,179.20000000000002
3.5,173.8,177.9
3.55,184.3,186.5
3.6,196.10000000000002,199.3
3.65,196.4,201.0
3.7,200.5,200.3
3.75,207.60000000000002,208.0
3.8,215.5,221.3
3.85,223.8,223.10000000000002
3.9,235.8,236.10000000000002
3.95,239.4,235.10000000000002
4.0,240.9,242.4
4.05,237.5,235.8
4.1,240.9,239.70000000000002
4.15,245.9,242.8
4.2,259.1,254.5
4.25,260.6,262.3
4.3,271.8,272.8
4.35,288.5,281.3
4.4,287.3,291.8
4.45,293.3,294.6
4.5,297.5,297.2
4.55,293.8,293.1
4.6,302.7,304.7
4.65,310.6,313.1
4.7,319.6,320.40000000000003
4.75,337.6,335.0
4.8,352.70000000000005,353.1
4.85,357.0,360.3
4.9,350.90000000000003,348.70000000000005
4.95,358.0,359.40000000000003
5.0,360.3,355.70000000000005
5.05,352.6,348.20000000000005
5.1,358.20000000000005,360.0
5.15,350.3,355.1
5.2,359.6,360.70000000000005
5.25,364.70000000000005,368.0
5.3,364.5,362.8
5.35,377.70000000000005,380.0
5.4,390.6,390.8
5.45,400.8,400.8
5.5,411.70000000000005,409.70000000000005
5.55,416.20000000000005,419.5
5.6,421.40000000000003,424.0
5.65,436.20000000000005,438.1
5.7,446.5,443.20000000000005
5.75,443.90000000000003,445.8
5.8,448.3,453.6
5.85,441.90000000000003,443.5
5.9,445.8,443.70000000000005
5.95,450.8,452.70000000000005
6.0,459.8,460.3
6.05,455.20000000000005,456.40000000000003
6.1,461.40000000000003,466.5
6.15,471.8,472.8
6.2,472.0,470.40000000000003
6.25,487.90000000000003,485.70000000000005
6.3,493.70000000000005,492.5
6.35,493.20000000000005,493.20000000000005
6.4,508.40000000000003,512.0
6.45,526.2,532.4
6.5,540.8000000000001,536.3000000000001
6.55,543.4,546.2
6.6,548.5,547.4
6.65,554.7,552.0
6.7,563.4,561.5
6.75,560.5,562.6
6.8,569.8000000000001,571.3000000000001
6.85,570.2,573.6
6.9,590.9,584.4
6.95,591.0,591.2
7.0,588.6,596.0
7.05,604.1,620.1
7.1,617.1,620.3000000000001
7.15,632.5,633.3000000000001
7.2,630.7,632.8000000000001
7.25,655.0,651.4000000000001
7.3,669.5,675.8000000000001
7.35,674.4000000000001,680.0
7.4,680.6,680.0
7.45,695.0,699.5
7.5,720.5,720.5
7.55,732.7,733.8000000000001
7.6,744.0,752.1
7.65,760.7,759.0
7.7,749.8000000000001,747.7
7.75,759.8000000000001,752.1
7.8,774.7,767.4000000000001
7.85,777.1,770.4000000000001
7.9,788.8000000000001,793.2
7.95,804.4000000000001,809.5
8.0,812.6,811.7
8.05,825.5,833.0
8.1,835.2,838.1
8.15,839.5,849.0
8.2,862.1,863.7
8.25,882.6,891.3000000000001
8.3,907.7,907.1
8.35,926.3000000000001,922.0
8.4,929.8000000000001,926.5
8.45,920.6,928.6
8.5,939.6,943.0
8.55,962.4000000000001,964.3000000000001
8.6,959.5,957.0
8.65,969.4000000000001,975.4000000000001
8.7,978.0,979.7
8.75,994.3000000000001,1002.2
8.8,1007.3000000000001,1001.2
8.85,1015.9000000000001,1022.2
8.9,1011.4000000000001,1022.8000000000001
8.95,1006.8000000000001,1009.4000000000001
9.0,1033.4,1044.5
9.05,1048.5,1043.5
9.1,1045.1000000000001,1050.5
9.15,1056.0,1056.5
9.2,1057.3,1061.8
9.25,1051.9,1064.0
9.3,1064.0,1059.6000000000001
9.35,1084.0,1073.8
9.4,1070.4,1075.9
9.45,1112.3,1113.5
9.5,1131.7,1125.3
9.55,1142.4,1151.8
9.6,1161.8,1163.5
9.65,1176.9,1174.8
9.7,1218.6000000000001,1215.1000000000001
9.75,1257.1000000000001,1252.0
9.8,1303.4,1300.4
9.85,1327.3000000000002,1324.6000000000001
9.9,1335.6000000000001,1318.2
9.95,1354.4,1359.9
10.0,1385.8000000000002,1390.4
