Cluster size,counts
1,2571
2,816
3,343
4,173
5,124
6,62
7,45
8,36
9,33
10,21
11,23
12,16
13,8
14,9
15,4
16,7
17,5
18,3
19,7
20,7
21,3
22,6
23,6
24,3
25,3
26,3
27,2
28,1
29,4
30,2
33,1
34,2
36,2
37,2
38,1
39,3
41,1
44,1
47,3
48,1
51,2
52,1
53,2
54,1
58,1
59,1
71,1
74,1
75,1
79,1
81,1
87,1
92,1
93,1
140,1
