Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,34.4,33.5
0.1,39.5,41.0
0.15,42.800000000000004,43.400000000000006
0.2,46.300000000000004,48.7
0.25,51.0,48.800000000000004
0.3,51.2,53.400000000000006
0.35,55.900000000000006,58.5
0.4,54.5,54.7
0.45,57.300000000000004,59.0
0.5,63.7,65.60000000000001
0.55,63.5,60.400000000000006
0.6,64.0,64.0
0.65,64.9,64.5
0.7,71.5,72.10000000000001
0.75,70.7,67.3
0.8,70.2,68.9
0.85,73.10000000000001,71.5
0.9,69.5,70.60000000000001
0.95,64.9,64.4
1.0,64.5,64.4
1.05,68.10000000000001,66.0
1.1,69.3,70.2
1.15,67.4,68.2
1.2,67.10000000000001,68.2
1.25,63.300000000000004,64.2
1.3,59.7,59.300000000000004
1.35,61.5,62.800000000000004
1.4,57.6,57.7
1.45,58.400000000000006,57.1
1.5,64.3,63.6
1.55,60.900000000000006,64.0
1.6,58.6,59.400000000000006
1.65,62.2,63.2
1.7,62.800000000000004,61.5
1.75,66.9,69.3
1.8,61.7,62.2
1.85,65.0,61.900000000000006
1.9,62.400000000000006,62.0
1.95,65.7,65.10000000000001
2.0,65.2,66.9
2.05,73.3,73.5
2.1,71.60000000000001,72.60000000000001
2.15,74.3,72.4
2.2,73.0,72.10000000000001
2.25,78.7,78.80000000000001
2.3,81.5,81.2
2.35,82.2,77.0
2.4,74.7,77.4
2.45,75.5,77.0
2.5,85.30000000000001,82.60000000000001
2.55,89.4,88.7
2.6,86.4,83.30000000000001
2.65,88.2,86.0
2.7,83.9,87.4
2.75,89.30000000000001,90.2
2.8,82.10000000000001,84.0
2.85,77.2,75.5
2.9,73.9,74.5
2.95,74.5,76.3
3.0,83.10000000000001,83.10000000000001
3.05,79.10000000000001,79.5
3.1,69.5,72.10000000000001
3.15,74.60000000000001,75.9
3.2,76.2,76.2
3.25,82.5,83.60000000000001
3.3,85.60000000000001,82.0
3.35,86.30000000000001,88.80000000000001
3.4,91.60000000000001,92.4
3.45,95.5,96.9
3.5,94.0,95.80000000000001
3.55,88.60000000000001,90.80000000000001
3.6,93.60000000000001,90.30000000000001
3.65,90.0,91.9
3.7,92.9,88.9
3.75,93.9,94.60000000000001
3.8,103.80000000000001,103.80000000000001
3.85,102.80000000000001,102.9
3.9,107.4,111.5
3.95,99.7,98.4
4.0,96.60000000000001,97.9
4.05,106.30000000000001,103.10000000000001
4.1,98.5,96.2
4.15,109.80000000000001,107.60000000000001
4.2,100.9,100.9
4.25,98.10000000000001,96.7
4.3,102.2,103.4
4.35,95.4,96.2
4.4,95.0,97.9
4.45,99.4,94.80000000000001
4.5,91.5,90.80000000000001
4.55,91.30000000000001,91.60000000000001
4.6,92.2,90.60000000000001
4.65,82.4,82.4
4.7,81.0,86.9
4.75,83.2,84.9
4.8,79.4,76.9
4.85,77.10000000000001,78.10000000000001
4.9,74.7,74.9
4.95,73.2,78.80000000000001
5.0,78.4,78.5
5.05,77.5,81.7
5.1,75.2,76.80000000000001
5.15,75.0,72.3
5.2,68.4,70.10000000000001
5.25,64.2,65.0
5.3,71.9,69.10000000000001
5.35,70.3,71.2
5.4,67.8,69.8
5.45,70.7,70.9
5.5,71.10000000000001,71.5
5.55,70.10000000000001,70.0
5.6,74.4,73.8
5.65,57.900000000000006,59.400000000000006
5.7,60.900000000000006,57.900000000000006
5.75,61.900000000000006,61.0
5.8,63.300000000000004,63.1
5.85,57.800000000000004,59.900000000000006
5.9,62.400000000000006,60.300000000000004
5.95,62.6,63.2
6.0,56.800000000000004,55.7
6.05,57.800000000000004,61.300000000000004
6.1,61.0,57.1
6.15,67.8,67.4
6.2,57.6,59.6
6.25,57.0,58.6
6.3,57.0,58.800000000000004
6.35,59.1,60.1
6.4,62.6,60.800000000000004
6.45,60.5,58.900000000000006
6.5,58.800000000000004,58.900000000000006
6.55,57.5,55.6
6.6,55.2,56.1
6.65,60.800000000000004,64.0
6.7,61.7,64.5
6.75,63.300000000000004,64.3
6.8,71.0,65.7
6.85,66.8,67.10000000000001
6.9,68.10000000000001,67.0
6.95,64.2,62.2
7.0,68.3,67.0
7.05,68.60000000000001,71.10000000000001
7.1,68.2,67.3
7.15,68.60000000000001,68.10000000000001
7.2,65.9,63.300000000000004
7.25,64.10000000000001,62.6
7.3,52.400000000000006,52.0
7.35,53.300000000000004,55.6
7.4,60.900000000000006,61.900000000000006
7.45,59.5,58.2
7.5,60.5,63.7
7.55,59.900000000000006,57.800000000000004
7.6,56.400000000000006,59.7
7.65,61.5,60.300000000000004
7.7,59.7,59.800000000000004
7.75,62.5,63.800000000000004
7.8,67.7,68.5
7.85,55.5,55.5
7.9,53.900000000000006,52.2
7.95,52.900000000000006,54.0
8.0,52.0,51.2
8.05,54.7,53.1
8.1,57.7,59.900000000000006
8.15,62.2,58.7
8.2,64.8,63.5
8.25,65.7,62.300000000000004
8.3,64.7,64.60000000000001
8.35,61.5,64.3
8.4,65.2,67.4
8.45,72.4,74.7
