Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,29.700000000000003,27.8
0.1,36.9,38.400000000000006
0.15,43.6,42.6
0.2,54.900000000000006,53.7
0.25,57.0,54.5
0.3,55.400000000000006,55.0
0.35,51.900000000000006,53.900000000000006
0.4,54.400000000000006,53.2
0.45,59.2,58.0
0.5,57.2,59.300000000000004
0.55,59.400000000000006,58.6
0.6,65.10000000000001,60.7
0.65,63.7,66.3
0.7,64.9,66.9
0.75,64.2,64.60000000000001
0.8,66.7,65.5
0.85,75.5,77.2
0.9,78.10000000000001,79.60000000000001
0.95,78.2,77.80000000000001
1.0,76.10000000000001,77.10000000000001
1.05,79.0,77.4
1.1,75.3,74.2
1.15,78.0,77.4
1.2,80.60000000000001,76.7
1.25,70.7,77.10000000000001
1.3,76.7,75.7
1.35,75.2,75.60000000000001
1.4,69.9,70.60000000000001
1.45,72.8,67.5
1.5,68.0,69.5
1.55,68.10000000000001,70.4
1.6,69.8,70.9
1.65,71.9,74.4
1.7,73.8,78.0
1.75,76.2,76.60000000000001
1.8,83.10000000000001,81.80000000000001
1.85,86.4,87.9
1.9,84.0,82.10000000000001
1.95,87.30000000000001,85.60000000000001
2.0,91.30000000000001,86.10000000000001
2.05,83.2,82.80000000000001
2.1,80.9,81.7
2.15,81.7,80.10000000000001
2.2,87.7,85.7
2.25,88.10000000000001,87.80000000000001
2.3,85.60000000000001,85.5
2.35,78.10000000000001,78.60000000000001
2.4,70.10000000000001,70.10000000000001
2.45,67.7,69.10000000000001
2.5,69.9,69.9
2.55,72.2,70.10000000000001
2.6,73.5,72.3
2.65,70.60000000000001,70.5
2.7,63.900000000000006,67.9
2.75,73.5,69.5
2.8,67.5,67.2
2.85,66.10000000000001,64.2
2.9,64.3,63.2
2.95,65.7,67.5
3.0,76.4,72.3
3.05,77.10000000000001,76.7
3.1,75.2,78.4
3.15,81.4,80.5
3.2,84.10000000000001,80.80000000000001
3.25,78.60000000000001,79.5
3.3,83.30000000000001,78.60000000000001
3.35,75.3,73.5
3.4,67.9,65.3
3.45,61.900000000000006,61.7
3.5,57.2,56.6
3.55,50.900000000000006,52.800000000000004
3.6,55.0,53.800000000000004
3.65,51.7,51.900000000000006
3.7,51.2,52.5
3.75,44.7,49.0
3.8,51.400000000000006,51.1
3.85,53.2,51.5
3.9,56.300000000000004,53.300000000000004
3.95,59.1,57.7
4.0,57.400000000000006,60.2
4.05,59.7,57.7
4.1,60.2,59.300000000000004
4.15,53.800000000000004,54.800000000000004
4.2,57.900000000000006,56.6
4.25,56.800000000000004,57.7
4.3,62.900000000000006,59.2
4.35,57.0,60.7
4.4,65.8,63.7
4.45,57.900000000000006,57.900000000000006
4.5,50.300000000000004,54.1
4.55,55.7,53.5
4.6,60.2,58.300000000000004
4.65,53.6,55.2
4.7,58.6,58.7
4.75,60.0,59.400000000000006
4.8,60.2,59.900000000000006
4.85,58.300000000000004,59.800000000000004
4.9,67.7,67.3
4.95,59.900000000000006,59.0
5.0,58.1,55.400000000000006
5.05,53.2,52.0
5.1,55.5,57.6
5.15,57.300000000000004,58.1
5.2,60.0,58.6
5.25,62.300000000000004,63.6
5.3,68.4,68.60000000000001
5.35,69.10000000000001,69.5
5.4,77.2,77.60000000000001
5.45,75.10000000000001,77.60000000000001
5.5,71.60000000000001,71.2
5.55,75.5,70.10000000000001
5.6,73.2,71.5
5.65,70.10000000000001,70.7
5.7,64.5,64.60000000000001
5.75,70.7,69.8
5.8,63.5,62.2
5.85,66.4,67.0
5.9,65.60000000000001,66.10000000000001
5.95,64.5,65.8
6.0,69.10000000000001,70.5
6.05,68.8,66.5
6.1,69.2,67.3
6.15,63.800000000000004,66.4
6.2,56.300000000000004,58.5
6.25,57.300000000000004,57.400000000000006
6.3,58.0,55.1
6.35,55.5,56.400000000000006
6.4,57.7,59.300000000000004
6.45,56.800000000000004,57.0
6.5,61.400000000000006,59.400000000000006
6.55,54.5,54.800000000000004
6.6,60.1,57.7
6.65,55.300000000000004,52.6
6.7,52.2,53.0
6.75,54.6,53.900000000000006
6.8,52.2,52.400000000000006
6.85,49.0,52.6
6.9,56.0,53.900000000000006
6.95,54.6,52.2
7.0,60.5,60.1
7.05,58.300000000000004,56.7
7.1,53.900000000000006,52.400000000000006
7.15,59.0,61.6
7.2,59.1,56.900000000000006
7.25,57.1,56.300000000000004
7.3,59.300000000000004,60.6
7.35,55.800000000000004,54.0
7.4,58.7,53.6
7.45,57.300000000000004,55.7
7.5,56.6,55.6
7.55,52.7,51.800000000000004
7.6,56.0,54.1
7.65,53.400000000000006,55.900000000000006
7.7,55.5,55.5
7.75,57.0,55.7
7.8,58.7,60.2
7.85,60.5,61.6
7.9,64.9,63.1
7.95,66.3,65.2
8.0,73.7,78.4
8.05,69.9,72.3
8.1,75.60000000000001,78.0
8.15,71.5,72.0
8.2,74.7,70.8
8.25,69.3,70.9
8.3,68.4,67.3
8.35,73.0,73.4
8.4,68.8,64.0
8.45,65.60000000000001,62.5
8.5,59.5,62.1
8.55,55.5,57.7
8.6,56.7,54.5
8.65,57.2,59.300000000000004
8.7,61.1,59.2
8.75,61.7,63.5
8.8,62.2,64.0
8.85,64.5,62.800000000000004
8.9,66.8,68.0
8.95,59.5,61.800000000000004
9.0,63.7,65.7
9.05,69.10000000000001,67.7
9.1,64.60000000000001,64.9
9.15,58.300000000000004,59.800000000000004
9.2,60.1,61.2
9.25,71.0,72.7
9.3,67.7,68.10000000000001
9.35,68.10000000000001,67.2
9.4,75.3,69.60000000000001
9.45,72.7,71.7
9.5,71.2,68.60000000000001
9.55,72.5,74.5
9.6,72.10000000000001,78.80000000000001
9.65,76.80000000000001,74.8
9.7,68.8,70.0
9.75,70.8,69.3
9.8,72.8,73.60000000000001
9.85,76.9,78.60000000000001
9.9,74.10000000000001,72.60000000000001
9.95,77.2,76.7
10.0,69.8,70.60000000000001
