Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,31.0,31.1
0.1,39.5,38.6
0.15,47.1,45.6
0.2,47.5,47.300000000000004
0.25,55.0,56.1
0.3,55.6,55.6
0.35,61.800000000000004,64.10000000000001
0.4,63.1,60.6
0.45,61.6,62.2
0.5,59.0,58.5
0.55,65.8,63.1
0.6,58.900000000000006,57.900000000000006
0.65,50.900000000000006,52.300000000000004
0.7,53.5,55.900000000000006
0.75,53.0,51.300000000000004
0.8,52.1,54.400000000000006
0.85,50.5,51.5
0.9,56.6,54.6
0.95,60.2,55.7
1.0,68.10000000000001,68.2
1.05,69.9,72.2
1.1,73.60000000000001,69.10000000000001
1.15,69.2,69.5
1.2,70.10000000000001,69.9
1.25,74.4,74.4
1.3,62.5,61.5
1.35,62.800000000000004,62.7
1.4,62.5,65.4
1.45,62.0,60.300000000000004
1.5,62.400000000000006,63.900000000000006
1.55,64.4,62.400000000000006
1.6,65.5,67.4
1.65,65.5,67.7
1.7,70.10000000000001,69.3
1.75,72.60000000000001,70.10000000000001
1.8,72.8,72.4
1.85,75.8,74.60000000000001
1.9,72.5,76.80000000000001
1.95,71.7,68.9
2.0,69.7,70.0
2.05,59.300000000000004,62.7
2.1,65.10000000000001,63.1
2.15,55.900000000000006,55.2
2.2,55.7,55.6
2.25,60.6,60.2
2.3,66.4,63.1
2.35,63.5,63.0
2.4,67.9,68.4
2.45,64.4,64.8
2.5,57.7,56.2
2.55,58.0,57.900000000000006
2.6,61.900000000000006,65.4
2.65,62.2,66.10000000000001
2.7,64.7,64.60000000000001
2.75,65.3,66.9
2.8,65.3,63.5
2.85,65.60000000000001,64.0
2.9,65.7,67.0
2.95,66.0,66.10000000000001
3.0,66.4,64.10000000000001
3.05,71.2,71.8
3.1,73.60000000000001,73.10000000000001
3.15,74.9,74.10000000000001
3.2,78.30000000000001,78.4
3.25,88.0,87.30000000000001
3.3,95.30000000000001,98.2
3.35,94.60000000000001,97.7
3.4,98.4,98.4
3.45,100.30000000000001,97.0
3.5,104.10000000000001,101.7
3.55,98.0,100.10000000000001
3.6,93.2,92.10000000000001
3.65,88.80000000000001,89.10000000000001
3.7,99.30000000000001,99.60000000000001
3.75,97.5,95.30000000000001
3.8,98.9,93.4
3.85,99.7,99.30000000000001
3.9,102.9,99.2
3.95,95.7,99.80000000000001
4.0,96.10000000000001,102.2
4.05,93.5,92.60000000000001
4.1,85.9,89.60000000000001
4.15,89.60000000000001,89.9
4.2,84.4,85.2
4.25,88.30000000000001,87.30000000000001
4.3,80.60000000000001,80.60000000000001
4.35,84.10000000000001,83.5
4.4,80.2,82.0
4.45,89.9,89.7
4.5,89.5,90.80000000000001
4.55,96.0,94.10000000000001
4.6,87.2,87.2
4.65,92.80000000000001,93.80000000000001
4.7,96.10000000000001,95.2
4.75,97.4,92.7
4.8,92.10000000000001,95.60000000000001
4.85,97.5,95.80000000000001
4.9,93.0,94.4
4.95,92.30000000000001,94.9
5.0,82.5,83.4
5.05,94.0,89.0
5.1,90.9,89.60000000000001
5.15,95.4,93.9
5.2,97.30000000000001,98.0
5.25,107.9,103.10000000000001
5.3,100.0,100.2
5.35,101.0,101.30000000000001
5.4,104.5,102.2
5.45,101.30000000000001,101.5
5.5,100.60000000000001,98.60000000000001
5.55,104.2,101.30000000000001
5.6,99.10000000000001,103.0
5.65,98.2,98.10000000000001
