Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,31.8,30.5
0.1,37.6,36.2
0.15,43.6,42.300000000000004
0.2,46.0,45.300000000000004
0.25,50.800000000000004,47.400000000000006
0.3,54.400000000000006,53.0
0.35,51.400000000000006,51.2
0.4,52.900000000000006,54.0
0.45,54.300000000000004,56.900000000000006
0.5,54.7,52.800000000000004
0.55,51.6,52.2
0.6,52.6,51.1
0.65,52.0,49.6
0.7,49.1,47.400000000000006
0.75,47.7,48.0
0.8,47.400000000000006,47.5
0.85,48.2,50.2
0.9,42.800000000000004,48.400000000000006
0.95,45.7,48.0
1.0,48.400000000000006,48.0
1.05,46.7,46.5
1.1,48.5,50.2
1.15,47.2,49.7
1.2,58.7,56.800000000000004
1.25,63.900000000000006,62.900000000000006
1.3,62.0,64.10000000000001
1.35,68.3,67.10000000000001
1.4,66.2,65.9
1.45,68.60000000000001,67.9
1.5,70.60000000000001,72.0
1.55,72.0,70.9
1.6,71.3,67.10000000000001
1.65,72.7,70.60000000000001
1.7,66.7,67.8
1.75,73.60000000000001,71.7
1.8,71.4,70.7
1.85,74.4,75.10000000000001
1.9,75.3,76.60000000000001
1.95,79.80000000000001,78.5
2.0,90.60000000000001,86.4
2.05,86.9,89.60000000000001
2.1,93.80000000000001,96.30000000000001
2.15,98.10000000000001,99.0
2.2,94.7,95.9
2.25,92.30000000000001,88.80000000000001
2.3,95.4,97.80000000000001
2.35,88.60000000000001,91.10000000000001
2.4,90.7,92.7
2.45,94.10000000000001,94.7
2.5,89.9,96.60000000000001
2.55,78.4,81.4
2.6,83.2,82.0
2.65,84.10000000000001,83.0
2.7,79.0,83.0
2.75,74.5,78.10000000000001
2.8,84.4,85.0
2.85,86.9,85.5
2.9,84.2,84.5
2.95,77.2,77.2
3.0,72.8,73.0
3.05,68.2,67.3
3.1,66.5,65.5
3.15,72.4,71.2
3.2,72.0,73.7
3.25,74.9,74.9
3.3,73.0,70.7
3.35,73.2,73.5
3.4,72.0,71.10000000000001
3.45,76.0,76.80000000000001
3.5,73.5,74.2
3.55,66.2,65.0
3.6,66.0,68.4
3.65,61.1,58.800000000000004
3.7,64.4,64.5
3.75,62.6,61.800000000000004
3.8,55.300000000000004,54.800000000000004
3.85,62.0,59.5
3.9,63.400000000000006,60.7
3.95,65.4,64.0
4.0,64.3,61.800000000000004
4.05,63.1,63.800000000000004
4.1,68.9,67.0
4.15,65.7,67.10000000000001
4.2,64.9,66.7
4.25,71.4,70.10000000000001
4.3,75.4,76.0
4.35,73.8,74.10000000000001
4.4,72.60000000000001,73.60000000000001
4.45,70.0,70.60000000000001
4.5,64.0,63.400000000000006
4.55,58.900000000000006,55.6
4.6,64.9,63.1
4.65,61.900000000000006,63.7
4.7,61.5,62.5
4.75,59.800000000000004,60.900000000000006
4.8,59.900000000000006,57.2
4.85,57.0,57.7
4.9,51.6,54.0
4.95,56.0,53.900000000000006
5.0,59.7,60.0
5.05,61.7,59.400000000000006
5.1,58.2,59.900000000000006
5.15,58.2,59.1
5.2,59.800000000000004,61.2
5.25,60.2,63.2
5.3,62.800000000000004,65.60000000000001
5.35,70.4,67.2
5.4,63.6,62.5
5.45,59.5,62.1
5.5,61.300000000000004,60.800000000000004
5.55,55.800000000000004,59.5
5.6,58.800000000000004,63.0
5.65,66.4,65.60000000000001
5.7,65.3,62.300000000000004
5.75,71.5,72.10000000000001
5.8,71.5,71.10000000000001
5.85,69.4,68.7
5.9,72.3,69.5
5.95,70.9,75.5
6.0,66.8,70.2
6.05,67.0,69.10000000000001
6.1,59.7,57.6
6.15,52.2,54.800000000000004
6.2,59.5,60.2
6.25,58.400000000000006,60.5
6.3,59.2,56.400000000000006
6.35,54.400000000000006,56.300000000000004
6.4,59.900000000000006,56.800000000000004
6.45,58.900000000000006,60.800000000000004
6.5,53.6,54.5
6.55,52.800000000000004,52.300000000000004
6.6,59.5,57.800000000000004
6.65,50.5,55.5
6.7,55.5,55.900000000000006
6.75,62.2,63.2
6.8,58.6,59.800000000000004
6.85,60.300000000000004,62.2
6.9,54.6,58.0
6.95,58.0,58.7
7.0,54.400000000000006,57.400000000000006
7.05,53.800000000000004,56.0
7.1,55.300000000000004,53.5
7.15,62.6,61.900000000000006
7.2,62.7,61.900000000000006
7.25,57.900000000000006,57.800000000000004
7.3,60.800000000000004,58.2
7.35,59.7,58.6
7.4,63.2,61.2
7.45,64.3,66.0
7.5,62.800000000000004,60.7
7.55,56.1,55.1
7.6,51.6,53.1
7.65,49.5,52.5
7.7,50.900000000000006,49.900000000000006
7.75,52.6,52.0
7.8,50.6,49.6
7.85,50.0,49.5
7.9,50.6,50.400000000000006
7.95,54.400000000000006,53.7
8.0,52.7,56.2
8.05,52.800000000000004,48.900000000000006
8.1,45.6,49.0
8.15,50.2,50.400000000000006
8.2,51.2,55.300000000000004
8.25,58.6,56.400000000000006
8.3,56.2,52.5
8.35,55.400000000000006,57.5
8.4,66.10000000000001,69.7
8.45,64.2,65.9
8.5,64.7,66.8
8.55,67.0,67.0
8.6,69.0,68.2
8.65,62.800000000000004,63.7
8.7,58.300000000000004,59.7
8.75,58.2,59.400000000000006
8.8,58.0,58.1
8.85,58.0,56.300000000000004
8.9,52.400000000000006,50.2
8.95,51.2,57.1
9.0,51.1,49.0
9.05,52.7,51.900000000000006
9.1,48.5,52.2
9.15,55.5,52.900000000000006
9.2,54.0,54.300000000000004
9.25,54.300000000000004,54.2
9.3,55.1,55.0
9.35,53.400000000000006,52.800000000000004
9.4,50.800000000000004,48.6
9.45,47.7,47.1
9.5,50.6,52.6
9.55,48.2,49.1
9.6,56.400000000000006,51.6
9.65,57.0,52.800000000000004
9.7,57.800000000000004,58.7
9.75,59.1,56.7
9.8,51.5,51.5
9.85,56.400000000000006,53.800000000000004
9.9,57.900000000000006,57.2
9.95,59.800000000000004,62.1
10.0,62.900000000000006,61.6
