Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,29.1,29.3
0.1,40.1,39.2
0.15,47.0,42.0
0.2,47.5,48.1
0.25,48.0,51.0
0.3,51.1,51.1
0.35,48.7,47.400000000000006
0.4,51.900000000000006,52.1
0.45,50.800000000000004,52.2
0.5,54.300000000000004,53.300000000000004
0.55,57.7,55.900000000000006
0.6,56.900000000000006,56.2
0.65,58.5,57.300000000000004
0.7,60.2,58.300000000000004
0.75,62.6,62.6
0.8,64.5,59.800000000000004
0.85,65.7,63.7
0.9,65.2,65.5
0.95,64.8,64.9
1.0,66.2,68.5
1.05,73.9,71.5
1.1,72.7,70.10000000000001
1.15,62.2,65.4
1.2,55.900000000000006,57.300000000000004
1.25,58.0,55.900000000000006
1.3,62.900000000000006,56.5
1.35,61.6,62.400000000000006
1.4,70.2,73.10000000000001
1.45,67.2,70.9
1.5,64.8,66.4
1.55,67.8,67.5
1.6,66.3,66.8
1.65,66.8,67.8
1.7,72.60000000000001,69.4
1.75,67.2,66.8
1.8,67.3,67.10000000000001
1.85,62.2,62.800000000000004
1.9,63.0,64.60000000000001
1.95,57.2,57.800000000000004
2.0,58.6,59.900000000000006
2.05,54.800000000000004,53.6
2.1,54.400000000000006,53.900000000000006
2.15,59.400000000000006,57.1
2.2,62.5,57.300000000000004
2.25,64.5,63.300000000000004
2.3,57.400000000000006,59.900000000000006
2.35,56.0,58.300000000000004
2.4,49.300000000000004,47.0
2.45,49.2,50.7
2.5,52.400000000000006,53.6
2.55,60.7,61.400000000000006
2.6,56.400000000000006,58.300000000000004
2.65,58.900000000000006,55.900000000000006
2.7,54.900000000000006,60.5
2.75,60.300000000000004,60.800000000000004
2.8,60.900000000000006,60.5
2.85,61.2,60.1
2.9,65.4,64.60000000000001
2.95,67.3,63.2
3.0,65.10000000000001,66.9
3.05,63.400000000000006,64.5
3.1,66.5,64.9
3.15,69.2,70.10000000000001
3.2,69.9,69.60000000000001
3.25,69.9,70.8
3.3,72.7,74.9
3.35,74.5,75.5
3.4,79.10000000000001,74.5
3.45,87.80000000000001,85.80000000000001
3.5,85.7,92.60000000000001
3.55,89.7,84.80000000000001
3.6,86.7,88.7
3.65,90.80000000000001,88.60000000000001
3.7,90.0,90.5
3.75,92.9,94.80000000000001
3.8,102.60000000000001,95.10000000000001
3.85,101.5,101.60000000000001
3.9,100.2,96.80000000000001
3.95,96.7,95.9
4.0,100.5,96.9
4.05,103.0,101.0
4.1,105.30000000000001,105.0
4.15,105.9,106.2
4.2,106.0,108.0
4.25,108.0,108.30000000000001
4.3,105.4,106.4
4.35,113.30000000000001,109.30000000000001
4.4,116.2,117.30000000000001
4.45,110.9,112.0
4.5,112.7,113.4
4.55,109.4,110.2
4.6,101.80000000000001,104.2
4.65,109.0,111.0
4.7,111.80000000000001,108.0
4.75,102.4,103.5
4.8,105.10000000000001,103.4
4.85,98.10000000000001,98.4
4.9,102.10000000000001,98.0
4.95,99.4,100.5
5.0,101.4,101.30000000000001
5.05,98.5,96.80000000000001
5.1,103.30000000000001,102.7
5.15,95.4,94.60000000000001
5.2,97.80000000000001,97.2
5.25,103.9,107.7
5.3,105.2,106.0
5.35,109.5,111.10000000000001
5.4,110.7,110.10000000000001
5.45,108.5,105.80000000000001
5.5,100.80000000000001,96.30000000000001
5.55,104.30000000000001,106.9
5.6,104.60000000000001,101.5
5.65,106.80000000000001,108.0
5.7,107.5,109.10000000000001
5.75,108.0,102.2
5.8,103.7,103.80000000000001
5.85,107.2,106.0
5.9,113.2,110.0
5.95,114.2,116.80000000000001
6.0,122.80000000000001,124.10000000000001
6.05,129.6,128.9
6.1,135.4,137.0
6.15,133.6,133.9
6.2,129.4,130.0
6.25,127.30000000000001,127.5
6.3,128.4,128.6
6.35,140.4,140.6
6.4,144.0,143.4
6.45,145.4,152.70000000000002
6.5,153.60000000000002,150.3
6.55,139.20000000000002,143.20000000000002
6.6,154.60000000000002,156.8
6.65,155.9,157.3
6.7,157.9,160.3
6.75,165.9,167.5
6.8,168.8,167.0
6.85,164.9,167.8
6.9,163.0,162.9
6.95,169.9,164.3
7.0,154.5,156.9
7.05,162.20000000000002,162.60000000000002
7.1,166.3,165.20000000000002
7.15,168.60000000000002,168.20000000000002
7.2,171.60000000000002,173.20000000000002
7.25,177.60000000000002,174.9
7.3,180.9,182.8
7.35,193.10000000000002,188.5
7.4,198.8,199.60000000000002
7.45,195.10000000000002,192.4
7.5,199.3,198.0
7.55,200.0,199.70000000000002
7.6,199.3,200.70000000000002
7.65,197.3,197.3
7.7,187.5,188.3
7.75,202.8,203.4
7.8,209.4,209.9
7.85,210.9,207.10000000000002
7.9,208.10000000000002,209.9
7.95,203.0,206.3
8.0,215.5,218.10000000000002
8.05,210.70000000000002,214.3
8.1,222.4,224.3
8.15,226.10000000000002,221.10000000000002
8.2,232.70000000000002,232.10000000000002
