Time (ms),Total A4 (uM),Total B4 (uM)
0.0,1.384,1.384
2.000009999996102,16.607999999999997,26.296
4.000009999984225,37.367999999999995,31.831999999999997
6.000009999972347,47.056,33.215999999999994
8.00000999996047,45.672,40.135999999999996
10.000009999948592,60.895999999999994,47.056
12.000009999936713,59.51199999999999,63.663999999999994
14.000009999924837,60.895999999999994,60.895999999999994
16.000009999978012,60.895999999999994,58.12799999999999
18.00000000031308,76.11999999999999,66.43199999999999
20.000000000648146,62.279999999999994,65.048
22.00000000098321,74.73599999999999,83.03999999999999
24.000000001318284,87.192,83.03999999999999
26.000000001653344,89.96,89.96
28.000000001988415,85.80799999999999,88.576
30.000000002323482,89.96,77.50399999999999
32.000000002658545,81.65599999999999,81.65599999999999
34.000000002993616,92.728,80.27199999999999
36.00000000332868,78.88799999999999,92.728
38.00000000366375,94.112,89.96
40.000000003998814,87.192,87.192
42.000000004333884,98.264,83.03999999999999
44.00000000466895,92.728,87.192
46.00000000500402,95.496,81.65599999999999
48.00000000533908,91.344,77.50399999999999
50.00000000567415,105.184,78.88799999999999
52.000000006009216,99.648,83.03999999999999
54.00000000634429,92.728,81.65599999999999
56.00000000667935,92.728,76.11999999999999
58.00000000701443,77.50399999999999,87.192
60.000000007349485,73.35199999999999,73.35199999999999
62.00000000768456,83.03999999999999,67.81599999999999
64.00000000697878,73.35199999999999,71.96799999999999
66.00000000592607,70.58399999999999,67.81599999999999
68.00000000487336,71.96799999999999,76.11999999999999
70.00000000382063,74.73599999999999,67.81599999999999
72.00000000276792,81.65599999999999,77.50399999999999
74.00000000171522,85.80799999999999,76.11999999999999
76.00000000066251,87.192,83.03999999999999
78.00000999960979,89.96,88.576
80.00000999855708,106.568,99.648
82.00000999750436,105.184,95.496
84.00000999645165,105.184,106.568
86.00000999539894,101.032,106.568
88.00000999434621,121.79199999999999,120.40799999999999
90.00000999329352,117.63999999999999,125.94399999999999
92.00000999224079,113.48799999999999,121.79199999999999
94.0000099911881,121.79199999999999,112.10399999999998
96.0000099901354,123.17599999999999,132.86399999999998
98.00000998908267,132.86399999999998,137.016
100.00000998802996,125.94399999999999,135.63199999999998
102.00000998697723,132.86399999999998,132.86399999999998
104.00000998592454,128.712,119.02399999999999
106.00000998487184,123.17599999999999,119.02399999999999
108.00000998381913,125.94399999999999,121.79199999999999
110.0000099827664,130.096,120.40799999999999
112.00000998171369,134.248,138.39999999999998
114.00000998066096,138.39999999999998,139.784
116.00000997960827,145.32,150.856
118.00000997855554,153.624,143.93599999999998
120.00000997750284,152.23999999999998,139.784
122.00000997645014,159.16,134.248
124.00000997539742,149.47199999999998,132.86399999999998
126.0000099743447,141.16799999999998,138.39999999999998
128.000009973292,134.248,146.70399999999998
130.0000099722393,141.16799999999998,143.93599999999998
132.00000997118659,150.856,148.088
134.00000997013387,157.77599999999998,148.088
136.00000996908116,149.47199999999998,163.31199999999998
138.00000996802845,164.696,156.392
140.00000996697574,161.928,161.928
142.00000996592303,170.232,175.768
144.00000996487032,160.54399999999998,178.53599999999997
146.0000099638176,146.70399999999998,178.53599999999997
148.0000099627649,157.77599999999998,171.61599999999999
