Time (ms),Total A4 (uM),Total B4 (uM)
0.0,1.384,1.384
2.000009999996102,17.991999999999997,11.072
4.000009999984225,17.991999999999997,17.991999999999997
6.000009999972347,29.063999999999997,22.144
8.00000999996047,35.983999999999995,35.983999999999995
10.000009999948592,35.983999999999995,37.367999999999995
12.000009999936713,53.976,51.208
14.000009999924837,66.43199999999999,63.663999999999994
16.000009999978012,66.43199999999999,60.895999999999994
18.00000000031308,71.96799999999999,70.58399999999999
20.000000000648146,95.496,83.03999999999999
22.00000000098321,89.96,84.42399999999999
24.000000001318284,91.344,92.728
26.000000001653344,96.88,102.416
28.000000001988415,101.032,98.264
30.000000002323482,89.96,95.496
32.000000002658545,91.344,95.496
34.000000002993616,95.496,99.648
36.00000000332868,98.264,105.184
38.00000000366375,102.416,98.264
40.000000003998814,102.416,98.264
42.000000004333884,89.96,96.88
44.00000000466895,89.96,101.032
46.00000000500402,95.496,95.496
48.00000000533908,102.416,102.416
50.00000000567415,106.568,112.10399999999998
52.000000006009216,117.63999999999999,120.40799999999999
54.00000000634429,109.336,117.63999999999999
56.00000000667935,95.496,107.952
58.00000000701443,117.63999999999999,105.184
60.000000007349485,107.952,105.184
62.00000000768456,87.192,114.87199999999999
64.00000000697878,95.496,124.55999999999999
66.00000000592607,99.648,109.336
68.00000000487336,101.032,112.10399999999998
70.00000000382063,103.8,113.48799999999999
72.00000000276792,91.344,98.264
74.00000000171522,81.65599999999999,94.112
76.00000000066251,83.03999999999999,96.88
78.00000999960979,103.8,102.416
80.00000999855708,110.72,94.112
82.00000999750436,101.032,105.184
84.00000999645165,105.184,98.264
86.00000999539894,113.48799999999999,106.568
88.00000999434621,114.87199999999999,112.10399999999998
90.00000999329352,109.336,105.184
92.00000999224079,119.02399999999999,106.568
94.0000099911881,113.48799999999999,121.79199999999999
96.0000099901354,113.48799999999999,117.63999999999999
98.00000998908267,110.72,119.02399999999999
100.00000998802996,96.88,110.72
102.00000998697723,102.416,101.032
104.00000998592454,116.25599999999999,101.032
106.00000998487184,120.40799999999999,103.8
108.00000998381913,106.568,98.264
110.0000099827664,110.72,91.344
112.00000998171369,110.72,96.88
114.00000998066096,95.496,101.032
116.00000997960827,103.8,89.96
118.00000997855554,89.96,99.648
120.00000997750284,95.496,101.032
122.00000997645014,112.10399999999998,89.96
124.00000997539742,107.952,102.416
126.0000099743447,106.568,119.02399999999999
128.000009973292,123.17599999999999,112.10399999999998
130.0000099722393,102.416,116.25599999999999
132.00000997118659,112.10399999999998,105.184
134.00000997013387,132.86399999999998,109.336
136.00000996908116,113.48799999999999,112.10399999999998
138.00000996802845,114.87199999999999,114.87199999999999
140.00000996697574,121.79199999999999,99.648
142.00000996592303,119.02399999999999,119.02399999999999
144.00000996487032,116.25599999999999,119.02399999999999
146.0000099638176,137.016,137.016
148.0000099627649,130.096,146.70399999999998
150.00000996171215,134.248,131.48
152.00000996065947,130.096,139.784
154.00000995960676,137.016,146.70399999999998
156.00000995855405,152.23999999999998,139.784
158.00000995750133,141.16799999999998,137.016
160.00000995644862,131.48,142.552
162.0000099553959,134.248,141.16799999999998
164.0000099543432,139.784,139.784
166.0000099532905,137.016,134.248
168.00000995223775,135.63199999999998,130.096
170.00000995118506,145.32,131.48
172.00000995013235,141.16799999999998,139.784
174.00000994907967,156.392,139.784
176.00000994802693,142.552,128.712
178.00000994697422,134.248,135.63199999999998
180.0000099459215,146.70399999999998,141.16799999999998
182.00000994486882,135.63199999999998,139.784
184.00000994381608,139.784,135.63199999999998
186.00000994276337,137.016,143.93599999999998
188.00000994171066,137.016,146.70399999999998
190.00000994065795,141.16799999999998,137.016
192.00000993960526,127.32799999999999,142.552
194.0000099385525,124.55999999999999,128.712
196.0000099374998,130.096,139.784
198.0000099364471,130.096,123.17599999999999
200.00000993539442,139.784,124.55999999999999
202.00000993434168,142.552,142.552
204.00000993328896,135.63199999999998,143.93599999999998
206.00000993223625,143.93599999999998,148.088
208.00000993118357,148.088,146.70399999999998
210.0000099301308,148.088,157.77599999999998
212.00000992907812,149.47199999999998,143.93599999999998
214.0000099280254,148.088,150.856
216.0000099269727,150.856,164.696
218.00000992592,157.77599999999998,164.696
220.00000992486727,163.31199999999998,145.32
222.00000992381453,148.088,150.856
224.00000992276185,163.31199999999998,155.00799999999998
226.00000992170916,159.16,155.00799999999998
228.0000099206564,163.31199999999998,153.624
230.0000099196037,170.232,159.16
232.00000991855106,171.61599999999999,182.688
234.00000991749832,178.53599999999997,185.456
236.0000099164456,173.0,197.91199999999998
238.00000991539292,170.232,202.064
240.0000099143401,185.456,200.67999999999998
242.00000991328747,195.14399999999998,195.14399999999998
244.0000099122347,195.14399999999998,207.6
246.00000991118202,213.136,200.67999999999998
248.0000099101293,197.91199999999998,200.67999999999998
250.00000990907662,193.76,206.21599999999998
252.0000099080239,190.992,213.136
254.0000099069712,202.064,206.21599999999998
256.0000099059185,214.51999999999998,208.98399999999998
258.00000990486575,220.05599999999998,214.51999999999998
260.00000990381307,214.51999999999998,218.672
262.0000099027603,218.672,222.82399999999998
264.00000990170764,239.432,231.128
266.0000099006549,244.968,244.968
268.0000098996022,247.736,238.04799999999997
270.0000098985495,250.504,242.2
272.0000098974968,251.88799999999998,260.192
274.00000989644406,247.736,260.192
