Time (ms),Total A4 (uM),Total B4 (uM)
0.0,1.384,1.384
2.000009999996102,26.296,26.296
4.000009999984225,22.144,24.912
6.000009999972347,31.831999999999997,31.831999999999997
8.00000999996047,38.751999999999995,42.903999999999996
10.000009999948592,44.288,55.36
12.000009999936713,63.663999999999994,55.36
14.000009999924837,63.663999999999994,65.048
16.000009999978012,69.19999999999999,69.19999999999999
18.00000000031308,69.19999999999999,60.895999999999994
20.000000000648146,65.048,66.43199999999999
22.00000000098321,70.58399999999999,80.27199999999999
24.000000001318284,67.81599999999999,71.96799999999999
26.000000001653344,67.81599999999999,60.895999999999994
28.000000001988415,69.19999999999999,66.43199999999999
30.000000002323482,69.19999999999999,70.58399999999999
32.000000002658545,81.65599999999999,87.192
34.000000002993616,81.65599999999999,84.42399999999999
36.00000000332868,98.264,88.576
38.00000000366375,85.80799999999999,91.344
40.000000003998814,87.192,91.344
42.000000004333884,95.496,98.264
44.00000000466895,89.96,94.112
46.00000000500402,98.264,103.8
48.00000000533908,109.336,98.264
50.00000000567415,106.568,112.10399999999998
52.000000006009216,110.72,109.336
54.00000000634429,99.648,117.63999999999999
56.00000000667935,91.344,112.10399999999998
58.00000000701443,91.344,92.728
60.000000007349485,83.03999999999999,83.03999999999999
62.00000000768456,83.03999999999999,71.96799999999999
64.00000000697878,92.728,87.192
66.00000000592607,91.344,102.416
68.00000000487336,92.728,95.496
70.00000000382063,96.88,110.72
72.00000000276792,103.8,96.88
74.00000000171522,98.264,95.496
76.00000000066251,113.48799999999999,98.264
78.00000999960979,107.952,92.728
80.00000999855708,113.48799999999999,91.344
82.00000999750436,107.952,106.568
84.00000999645165,113.48799999999999,113.48799999999999
86.00000999539894,117.63999999999999,110.72
88.00000999434621,116.25599999999999,116.25599999999999
90.00000999329352,121.79199999999999,119.02399999999999
92.00000999224079,112.10399999999998,120.40799999999999
94.0000099911881,99.648,106.568
96.0000099901354,109.336,119.02399999999999
98.00000998908267,116.25599999999999,112.10399999999998
100.00000998802996,114.87199999999999,106.568
102.00000998697723,116.25599999999999,125.94399999999999
104.00000998592454,131.48,131.48
106.00000998487184,117.63999999999999,107.952
108.00000998381913,114.87199999999999,103.8
110.0000099827664,119.02399999999999,117.63999999999999
112.00000998171369,117.63999999999999,125.94399999999999
114.00000998066096,120.40799999999999,127.32799999999999
116.00000997960827,135.63199999999998,125.94399999999999
118.00000997855554,137.016,130.096
120.00000997750284,130.096,135.63199999999998
122.00000997645014,131.48,128.712
124.00000997539742,142.552,131.48
126.0000099743447,120.40799999999999,135.63199999999998
128.000009973292,131.48,145.32
130.0000099722393,132.86399999999998,135.63199999999998
132.00000997118659,135.63199999999998,138.39999999999998
134.00000997013387,137.016,141.16799999999998
136.00000996908116,130.096,141.16799999999998
138.00000996802845,134.248,157.77599999999998
140.00000996697574,156.392,153.624
142.00000996592303,159.16,164.696
144.00000996487032,157.77599999999998,173.0
146.0000099638176,166.07999999999998,163.31199999999998
148.0000099627649,170.232,159.16
150.00000996171215,150.856,152.23999999999998
152.00000996065947,152.23999999999998,152.23999999999998
154.00000995960676,141.16799999999998,132.86399999999998
156.00000995855405,135.63199999999998,134.248
158.00000995750133,125.94399999999999,128.712
160.00000995644862,134.248,130.096
162.0000099553959,132.86399999999998,128.712
164.0000099543432,131.48,125.94399999999999
166.0000099532905,128.712,125.94399999999999
