Time (ms),Total A4 (uM),Total B4 (uM)
0.0,1.384,1.384
2.000009999996102,20.759999999999998,15.223999999999998
4.000009999984225,26.296,23.528
6.000009999972347,26.296,35.983999999999995
8.00000999996047,40.135999999999996,38.751999999999995
10.000009999948592,41.519999999999996,41.519999999999996
12.000009999936713,52.592,42.903999999999996
14.000009999924837,52.592,49.824
16.000009999978012,63.663999999999994,55.36
18.00000000031308,69.19999999999999,69.19999999999999
20.000000000648146,65.048,84.42399999999999
22.00000000098321,67.81599999999999,67.81599999999999
24.000000001318284,52.592,63.663999999999994
26.000000001653344,59.51199999999999,69.19999999999999
28.000000001988415,55.36,66.43199999999999
30.000000002323482,60.895999999999994,67.81599999999999
32.000000002658545,67.81599999999999,70.58399999999999
34.000000002993616,63.663999999999994,58.12799999999999
36.00000000332868,69.19999999999999,66.43199999999999
38.00000000366375,78.88799999999999,66.43199999999999
40.000000003998814,65.048,66.43199999999999
42.000000004333884,76.11999999999999,78.88799999999999
44.00000000466895,80.27199999999999,76.11999999999999
46.00000000500402,77.50399999999999,76.11999999999999
48.00000000533908,85.80799999999999,71.96799999999999
50.00000000567415,83.03999999999999,69.19999999999999
52.000000006009216,81.65599999999999,74.73599999999999
54.00000000634429,78.88799999999999,89.96
56.00000000667935,77.50399999999999,80.27199999999999
58.00000000701443,66.43199999999999,73.35199999999999
60.000000007349485,69.19999999999999,69.19999999999999
62.00000000768456,66.43199999999999,74.73599999999999
64.00000000697878,77.50399999999999,77.50399999999999
66.00000000592607,81.65599999999999,73.35199999999999
68.00000000487336,81.65599999999999,85.80799999999999
70.00000000382063,101.032,91.344
72.00000000276792,85.80799999999999,92.728
74.00000000171522,91.344,96.88
76.00000000066251,89.96,95.496
78.00000999960979,98.264,103.8
80.00000999855708,94.112,92.728
82.00000999750436,98.264,101.032
84.00000999645165,84.42399999999999,105.184
86.00000999539894,96.88,101.032
88.00000999434621,87.192,96.88
90.00000999329352,81.65599999999999,89.96
92.00000999224079,92.728,89.96
94.0000099911881,91.344,91.344
96.0000099901354,92.728,102.416
98.00000998908267,92.728,106.568
100.00000998802996,95.496,106.568
102.00000998697723,106.568,105.184
104.00000998592454,110.72,106.568
106.00000998487184,116.25599999999999,96.88
108.00000998381913,114.87199999999999,96.88
110.0000099827664,116.25599999999999,101.032
112.00000998171369,107.952,105.184
114.00000998066096,110.72,113.48799999999999
116.00000997960827,106.568,102.416
118.00000997855554,110.72,109.336
120.00000997750284,120.40799999999999,121.79199999999999
122.00000997645014,124.55999999999999,112.10399999999998
124.00000997539742,114.87199999999999,112.10399999999998
126.0000099743447,117.63999999999999,120.40799999999999
128.000009973292,112.10399999999998,116.25599999999999
130.0000099722393,109.336,113.48799999999999
132.00000997118659,109.336,101.032
134.00000997013387,96.88,98.264
136.00000996908116,99.648,99.648
138.00000996802845,102.416,110.72
140.00000996697574,99.648,102.416
142.00000996592303,110.72,94.112
144.00000996487032,103.8,107.952
146.0000099638176,105.184,96.88
148.0000099627649,105.184,98.264
150.00000996171215,102.416,98.264
152.00000996065947,102.416,103.8
154.00000995960676,99.648,105.184
156.00000995855405,106.568,110.72
158.00000995750133,119.02399999999999,107.952
160.00000995644862,110.72,113.48799999999999
162.0000099553959,95.496,96.88
164.0000099543432,102.416,101.032
166.0000099532905,116.25599999999999,109.336
168.00000995223775,138.39999999999998,116.25599999999999
170.00000995118506,127.32799999999999,117.63999999999999
172.00000995013235,121.79199999999999,135.63199999999998
174.00000994907967,127.32799999999999,139.784
176.00000994802693,131.48,146.70399999999998
178.00000994697422,131.48,131.48
180.0000099459215,139.784,138.39999999999998
182.00000994486882,145.32,149.47199999999998
184.00000994381608,145.32,155.00799999999998
186.00000994276337,148.088,149.47199999999998
188.00000994171066,141.16799999999998,148.088
190.00000994065795,137.016,152.23999999999998
192.00000993960526,141.16799999999998,146.70399999999998
194.0000099385525,148.088,148.088
196.0000099374998,152.23999999999998,149.47199999999998
198.0000099364471,142.552,139.784
200.00000993539442,148.088,138.39999999999998
202.00000993434168,148.088,150.856
204.00000993328896,160.54399999999998,156.392
206.00000993223625,152.23999999999998,159.16
208.00000993118357,153.624,146.70399999999998
210.0000099301308,146.70399999999998,164.696
212.00000992907812,148.088,150.856
214.0000099280254,139.784,141.16799999999998
216.0000099269727,141.16799999999998,130.096
218.00000992592,148.088,121.79199999999999
220.00000992486727,135.63199999999998,128.712
222.00000992381453,134.248,142.552
224.00000992276185,132.86399999999998,146.70399999999998
226.00000992170916,130.096,141.16799999999998
228.0000099206564,132.86399999999998,135.63199999999998
230.0000099196037,157.77599999999998,141.16799999999998
232.00000991855106,157.77599999999998,167.464
234.00000991749832,155.00799999999998,156.392
236.0000099164456,157.77599999999998,152.23999999999998
238.00000991539292,141.16799999999998,143.93599999999998
240.0000099143401,149.47199999999998,145.32
242.00000991328747,153.624,148.088
244.0000099122347,139.784,153.624
246.00000991118202,143.93599999999998,160.54399999999998
248.0000099101293,150.856,155.00799999999998
250.00000990907662,157.77599999999998,164.696
252.0000099080239,164.696,163.31199999999998
254.0000099069712,161.928,160.54399999999998
256.0000099059185,159.16,161.928
258.00000990486575,150.856,153.624
260.00000990381307,149.47199999999998,149.47199999999998
262.0000099027603,131.48,149.47199999999998
264.00000990170764,127.32799999999999,143.93599999999998
266.0000099006549,135.63199999999998,130.096
268.0000098996022,137.016,130.096
270.0000098985495,120.40799999999999,128.712
272.0000098974968,109.336,120.40799999999999
274.00000989644406,101.032,124.55999999999999
276.0000098953914,113.48799999999999,114.87199999999999
278.00000989433863,119.02399999999999,114.87199999999999
280.00000989328595,119.02399999999999,112.10399999999998
282.0000098922332,101.032,106.568
284.0000098911805,103.8,91.344
286.0000098901278,94.112,91.344
288.0000098890751,95.496,80.27199999999999
290.00000988802236,94.112,84.42399999999999
292.00000988696974,95.496,83.03999999999999
294.00000988591694,87.192,88.576
296.00000988486426,92.728,88.576
298.0000098838115,98.264,89.96
300.00000988275883,109.336,94.112
302.0000098817061,103.8,102.416
304.0000098806534,101.032,99.648
306.00000987960067,119.02399999999999,102.416
308.00000987854804,110.72,117.63999999999999
310.0000098774953,110.72,110.72
312.0000098764425,106.568,110.72
314.0000098753898,109.336,103.8
316.00000987433714,106.568,106.568
318.0000098732844,119.02399999999999,107.952
320.0000098722317,127.32799999999999,110.72
322.0000098711789,125.94399999999999,116.25599999999999
324.0000098701263,135.63199999999998,119.02399999999999
326.0000098690736,123.17599999999999,131.48
328.0000098680209,137.016,131.48
330.00000986696807,132.86399999999998,137.016
332.00000986591544,143.93599999999998,138.39999999999998
334.0000098648627,141.16799999999998,137.016
336.00000986381,143.93599999999998,139.784
338.0000098627573,148.088,139.784
340.0000098617046,150.856,141.16799999999998
342.00000986065186,149.47199999999998,134.248
344.00000985959923,156.392,148.088
346.00000985854643,138.39999999999998,152.23999999999998
348.0000098574937,132.86399999999998,146.70399999999998
350.000009856441,139.784,150.856
352.0000098553883,143.93599999999998,146.70399999999998
354.0000098543356,152.23999999999998,141.16799999999998
356.0000098532829,143.93599999999998,156.392
358.00000985223016,142.552,160.54399999999998
360.00000985117754,164.696,164.696
362.0000098501248,157.77599999999998,161.928
364.0000098490721,164.696,152.23999999999998
366.0000098480193,167.464,157.77599999999998
368.00000984696663,170.232,150.856
370.0000098459139,159.16,152.23999999999998
372.0000098448612,143.93599999999998,157.77599999999998
374.00000984380847,157.77599999999998,141.16799999999998
376.0000098427558,156.392,137.016
378.0000098417031,143.93599999999998,138.39999999999998
380.0000098406504,150.856,149.47199999999998
382.00000983959757,148.088,163.31199999999998
384.0000098385449,152.23999999999998,153.624
386.0000098374922,153.624,145.32
388.0000098364395,150.856,153.624
390.0000098353868,161.928,146.70399999999998
392.0000098343341,161.928,149.47199999999998
394.00000983328135,163.31199999999998,146.70399999999998
396.0000098322287,157.77599999999998,150.856
398.000009831176,149.47199999999998,157.77599999999998
400.0000098301232,153.624,160.54399999999998
