Time (ms),Total A4 (uM),Total B4 (uM)
0.0,1.384,1.384
2.000009999996102,19.375999999999998,26.296
4.000009999984225,33.215999999999994,37.367999999999995
6.000009999972347,58.12799999999999,58.12799999999999
8.00000999996047,47.056,49.824
10.000009999948592,63.663999999999994,65.048
12.000009999936713,65.048,66.43199999999999
14.000009999924837,63.663999999999994,69.19999999999999
16.000009999978012,59.51199999999999,70.58399999999999
18.00000000031308,73.35199999999999,71.96799999999999
20.000000000648146,81.65599999999999,67.81599999999999
22.00000000098321,76.11999999999999,71.96799999999999
24.000000001318284,78.88799999999999,73.35199999999999
26.000000001653344,83.03999999999999,78.88799999999999
28.000000001988415,74.73599999999999,81.65599999999999
30.000000002323482,78.88799999999999,87.192
32.000000002658545,83.03999999999999,80.27199999999999
34.000000002993616,77.50399999999999,74.73599999999999
36.00000000332868,76.11999999999999,78.88799999999999
38.00000000366375,77.50399999999999,83.03999999999999
40.000000003998814,78.88799999999999,78.88799999999999
42.000000004333884,81.65599999999999,81.65599999999999
44.00000000466895,94.112,105.184
46.00000000500402,99.648,94.112
48.00000000533908,89.96,94.112
50.00000000567415,96.88,88.576
52.000000006009216,91.344,77.50399999999999
54.00000000634429,91.344,89.96
56.00000000667935,102.416,92.728
58.00000000701443,105.184,96.88
60.000000007349485,103.8,110.72
62.00000000768456,98.264,103.8
64.00000000697878,99.648,92.728
66.00000000592607,102.416,107.952
68.00000000487336,96.88,109.336
70.00000000382063,110.72,110.72
72.00000000276792,117.63999999999999,119.02399999999999
74.00000000171522,120.40799999999999,113.48799999999999
76.00000000066251,113.48799999999999,112.10399999999998
78.00000999960979,116.25599999999999,113.48799999999999
80.00000999855708,109.336,121.79199999999999
82.00000999750436,134.248,117.63999999999999
84.00000999645165,134.248,123.17599999999999
86.00000999539894,124.55999999999999,125.94399999999999
88.00000999434621,124.55999999999999,127.32799999999999
90.00000999329352,119.02399999999999,123.17599999999999
92.00000999224079,130.096,131.48
94.0000099911881,128.712,138.39999999999998
96.0000099901354,121.79199999999999,124.55999999999999
98.00000998908267,119.02399999999999,119.02399999999999
100.00000998802996,123.17599999999999,119.02399999999999
102.00000998697723,124.55999999999999,119.02399999999999
104.00000998592454,132.86399999999998,124.55999999999999
106.00000998487184,137.016,127.32799999999999
108.00000998381913,132.86399999999998,138.39999999999998
110.0000099827664,131.48,116.25599999999999
112.00000998171369,123.17599999999999,135.63199999999998
114.00000998066096,117.63999999999999,141.16799999999998
116.00000997960827,113.48799999999999,138.39999999999998
118.00000997855554,127.32799999999999,142.552
120.00000997750284,125.94399999999999,132.86399999999998
122.00000997645014,127.32799999999999,125.94399999999999
124.00000997539742,142.552,128.712
126.0000099743447,155.00799999999998,143.93599999999998
128.000009973292,150.856,161.928
130.0000099722393,146.70399999999998,167.464
132.00000997118659,157.77599999999998,164.696
134.00000997013387,164.696,167.464
136.00000996908116,163.31199999999998,156.392
138.00000996802845,164.696,155.00799999999998
140.00000996697574,185.456,164.696
142.00000996592303,178.53599999999997,177.152
144.00000996487032,175.768,181.30399999999997
146.0000099638176,179.92,177.152
148.0000099627649,174.384,184.07199999999997
150.00000996171215,186.83999999999997,182.688
152.00000996065947,189.60799999999998,179.92
154.00000995960676,195.14399999999998,185.456
156.00000995855405,188.224,188.224
158.00000995750133,199.296,186.83999999999997
160.00000995644862,192.37599999999998,188.224
162.0000099553959,189.60799999999998,193.76
164.0000099543432,192.37599999999998,192.37599999999998
166.0000099532905,186.83999999999997,189.60799999999998
168.00000995223775,197.91199999999998,207.6
170.00000995118506,193.76,193.76
172.00000995013235,189.60799999999998,177.152
174.00000994907967,171.61599999999999,195.14399999999998
176.00000994802693,181.30399999999997,188.224
178.00000994697422,174.384,166.07999999999998
180.0000099459215,173.0,174.384
182.00000994486882,182.688,175.768
184.00000994381608,174.384,178.53599999999997
186.00000994276337,181.30399999999997,178.53599999999997
188.00000994171066,177.152,171.61599999999999
190.00000994065795,177.152,163.31199999999998
192.00000993960526,168.84799999999998,175.768
194.0000099385525,192.37599999999998,181.30399999999997
196.0000099374998,189.60799999999998,189.60799999999998
198.0000099364471,196.528,193.76
200.00000993539442,196.528,210.368
202.00000993434168,195.14399999999998,208.98399999999998
204.00000993328896,211.75199999999998,207.6
206.00000993223625,207.6,210.368
208.00000993118357,214.51999999999998,208.98399999999998
210.0000099301308,221.44,218.672
212.00000992907812,224.20799999999997,217.28799999999998
214.0000099280254,221.44,228.35999999999999
216.0000099269727,222.82399999999998,235.27999999999997
218.00000992592,224.20799999999997,235.27999999999997
220.00000992486727,218.672,242.2
222.00000992381453,220.05599999999998,243.58399999999997
224.00000992276185,221.44,243.58399999999997
226.00000992170916,228.35999999999999,244.968
228.0000099206564,238.04799999999997,260.192
230.0000099196037,243.58399999999997,268.496
232.00000991855106,260.192,276.79999999999995
