Time (ms),Total A4 (uM),Total B4 (uM)
0.0,1.384,1.384
2.000009999996102,15.223999999999998,19.375999999999998
4.000009999984225,17.991999999999997,23.528
6.000009999972347,34.599999999999994,24.912
8.00000999996047,41.519999999999996,38.751999999999995
10.000009999948592,41.519999999999996,55.36
12.000009999936713,60.895999999999994,58.12799999999999
14.000009999924837,69.19999999999999,74.73599999999999
16.000009999978012,80.27199999999999,76.11999999999999
18.00000000031308,87.192,76.11999999999999
20.000000000648146,89.96,77.50399999999999
22.00000000098321,96.88,87.192
24.000000001318284,98.264,85.80799999999999
26.000000001653344,88.576,83.03999999999999
28.000000001988415,92.728,91.344
30.000000002323482,98.264,103.8
32.000000002658545,103.8,94.112
34.000000002993616,109.336,94.112
36.00000000332868,92.728,99.648
38.00000000366375,94.112,87.192
40.000000003998814,83.03999999999999,87.192
42.000000004333884,80.27199999999999,81.65599999999999
44.00000000466895,80.27199999999999,71.96799999999999
46.00000000500402,89.96,87.192
48.00000000533908,83.03999999999999,85.80799999999999
50.00000000567415,78.88799999999999,74.73599999999999
52.000000006009216,73.35199999999999,76.11999999999999
54.00000000634429,77.50399999999999,84.42399999999999
56.00000000667935,78.88799999999999,81.65599999999999
58.00000000701443,87.192,87.192
60.000000007349485,84.42399999999999,83.03999999999999
62.00000000768456,73.35199999999999,98.264
64.00000000697878,89.96,94.112
66.00000000592607,103.8,99.648
68.00000000487336,99.648,99.648
70.00000000382063,110.72,109.336
72.00000000276792,106.568,119.02399999999999
74.00000000171522,106.568,106.568
76.00000000066251,105.184,102.416
78.00000999960979,101.032,109.336
80.00000999855708,102.416,114.87199999999999
82.00000999750436,95.496,109.336
84.00000999645165,95.496,101.032
86.00000999539894,84.42399999999999,96.88
88.00000999434621,101.032,99.648
90.00000999329352,92.728,105.184
92.00000999224079,105.184,109.336
94.0000099911881,105.184,103.8
96.0000099901354,110.72,106.568
98.00000998908267,109.336,103.8
100.00000998802996,116.25599999999999,112.10399999999998
102.00000998697723,110.72,106.568
104.00000998592454,109.336,106.568
106.00000998487184,116.25599999999999,116.25599999999999
108.00000998381913,116.25599999999999,116.25599999999999
110.0000099827664,113.48799999999999,114.87199999999999
112.00000998171369,112.10399999999998,105.184
114.00000998066096,110.72,119.02399999999999
116.00000997960827,95.496,109.336
118.00000997855554,96.88,116.25599999999999
120.00000997750284,99.648,110.72
122.00000997645014,95.496,103.8
124.00000997539742,96.88,98.264
126.0000099743447,95.496,94.112
128.000009973292,98.264,107.952
130.0000099722393,95.496,103.8
132.00000997118659,107.952,110.72
134.00000997013387,112.10399999999998,102.416
136.00000996908116,106.568,114.87199999999999
138.00000996802845,112.10399999999998,125.94399999999999
140.00000996697574,114.87199999999999,114.87199999999999
142.00000996592303,110.72,103.8
144.00000996487032,113.48799999999999,106.568
146.0000099638176,96.88,99.648
148.0000099627649,106.568,94.112
150.00000996171215,109.336,91.344
152.00000996065947,106.568,92.728
154.00000995960676,98.264,91.344
156.00000995855405,101.032,105.184
158.00000995750133,109.336,98.264
160.00000995644862,109.336,102.416
162.0000099553959,105.184,110.72
164.0000099543432,123.17599999999999,106.568
166.0000099532905,120.40799999999999,114.87199999999999
168.00000995223775,128.712,117.63999999999999
170.00000995118506,127.32799999999999,134.248
172.00000995013235,143.93599999999998,149.47199999999998
174.00000994907967,137.016,127.32799999999999
176.00000994802693,132.86399999999998,125.94399999999999
178.00000994697422,128.712,124.55999999999999
180.0000099459215,131.48,127.32799999999999
182.00000994486882,121.79199999999999,127.32799999999999
184.00000994381608,125.94399999999999,123.17599999999999
186.00000994276337,130.096,128.712
188.00000994171066,128.712,130.096
190.00000994065795,138.39999999999998,139.784
192.00000993960526,141.16799999999998,134.248
194.0000099385525,148.088,145.32
196.0000099374998,150.856,148.088
198.0000099364471,161.928,143.93599999999998
200.00000993539442,155.00799999999998,152.23999999999998
202.00000993434168,143.93599999999998,149.47199999999998
204.00000993328896,152.23999999999998,150.856
206.00000993223625,170.232,166.07999999999998
208.00000993118357,163.31199999999998,156.392
210.0000099301308,157.77599999999998,157.77599999999998
212.00000992907812,155.00799999999998,156.392
214.0000099280254,170.232,153.624
216.0000099269727,171.61599999999999,168.84799999999998
218.00000992592,159.16,166.07999999999998
220.00000992486727,156.392,168.84799999999998
222.00000992381453,159.16,173.0
224.00000992276185,152.23999999999998,166.07999999999998
226.00000992170916,149.47199999999998,166.07999999999998
228.0000099206564,150.856,163.31199999999998
230.0000099196037,161.928,170.232
232.00000991855106,164.696,174.384
234.00000991749832,157.77599999999998,168.84799999999998
236.0000099164456,157.77599999999998,174.384
238.00000991539292,175.768,175.768
240.0000099143401,178.53599999999997,170.232
242.00000991328747,173.0,173.0
244.0000099122347,164.696,178.53599999999997
246.00000991118202,161.928,161.928
248.0000099101293,171.61599999999999,161.928
250.00000990907662,157.77599999999998,164.696
252.0000099080239,163.31199999999998,156.392
254.0000099069712,166.07999999999998,166.07999999999998
256.0000099059185,175.768,160.54399999999998
258.00000990486575,184.07199999999997,170.232
260.00000990381307,182.688,182.688
262.0000099027603,168.84799999999998,171.61599999999999
264.00000990170764,167.464,168.84799999999998
266.0000099006549,164.696,168.84799999999998
268.0000098996022,166.07999999999998,167.464
270.0000098985495,166.07999999999998,153.624
272.0000098974968,164.696,156.392
274.00000989644406,167.464,164.696
276.0000098953914,161.928,164.696
278.00000989433863,160.54399999999998,156.392
280.00000989328595,150.856,166.07999999999998
282.0000098922332,171.61599999999999,161.928
284.0000098911805,179.92,170.232
286.0000098901278,166.07999999999998,188.224
288.0000098890751,181.30399999999997,175.768
290.00000988802236,170.232,206.21599999999998
292.00000988696974,181.30399999999997,185.456
294.00000988591694,192.37599999999998,177.152
296.00000988486426,190.992,179.92
298.0000098838115,196.528,192.37599999999998
300.00000988275883,185.456,181.30399999999997
302.0000098817061,192.37599999999998,197.91199999999998
304.0000098806534,203.44799999999998,206.21599999999998
306.00000987960067,197.91199999999998,197.91199999999998
308.00000987854804,185.456,197.91199999999998
310.0000098774953,184.07199999999997,189.60799999999998
312.0000098764425,186.83999999999997,199.296
314.0000098753898,199.296,188.224
316.00000987433714,199.296,202.064
318.0000098732844,196.528,192.37599999999998
320.0000098722317,186.83999999999997,186.83999999999997
322.0000098711789,186.83999999999997,163.31199999999998
324.0000098701263,188.224,170.232
326.0000098690736,184.07199999999997,175.768
328.0000098680209,167.464,177.152
330.00000986696807,173.0,181.30399999999997
332.00000986591544,171.61599999999999,166.07999999999998
334.0000098648627,173.0,173.0
336.00000986381,166.07999999999998,168.84799999999998
338.0000098627573,161.928,171.61599999999999
340.0000098617046,178.53599999999997,170.232
342.00000986065186,175.768,179.92
344.00000985959923,184.07199999999997,184.07199999999997
346.00000985854643,185.456,197.91199999999998
348.0000098574937,179.92,182.688
350.000009856441,181.30399999999997,189.60799999999998
352.0000098553883,185.456,192.37599999999998
354.0000098543356,186.83999999999997,200.67999999999998
356.0000098532829,190.992,192.37599999999998
358.00000985223016,190.992,189.60799999999998
360.00000985117754,197.91199999999998,190.992
362.0000098501248,192.37599999999998,184.07199999999997
364.0000098490721,192.37599999999998,185.456
366.0000098480193,193.76,190.992
368.00000984696663,203.44799999999998,195.14399999999998
370.0000098459139,188.224,203.44799999999998
372.0000098448612,188.224,197.91199999999998
374.00000984380847,190.992,203.44799999999998
376.0000098427558,179.92,190.992
378.0000098417031,193.76,192.37599999999998
380.0000098406504,186.83999999999997,188.224
382.00000983959757,186.83999999999997,188.224
384.0000098385449,178.53599999999997,178.53599999999997
386.0000098374922,178.53599999999997,181.30399999999997
