Time (ms),Total A4 (uM),Total B4 (uM)
0.0,1.384,1.384
2.000009999996102,17.991999999999997,16.607999999999997
4.000009999984225,26.296,30.447999999999997
6.000009999972347,33.215999999999994,35.983999999999995
8.00000999996047,29.063999999999997,30.447999999999997
10.000009999948592,42.903999999999996,44.288
12.000009999936713,53.976,49.824
14.000009999924837,59.51199999999999,58.12799999999999
16.000009999978012,65.048,62.279999999999994
18.00000000031308,62.279999999999994,66.43199999999999
20.000000000648146,71.96799999999999,70.58399999999999
22.00000000098321,70.58399999999999,77.50399999999999
24.000000001318284,69.19999999999999,85.80799999999999
26.000000001653344,71.96799999999999,69.19999999999999
28.000000001988415,81.65599999999999,89.96
30.000000002323482,89.96,89.96
32.000000002658545,92.728,99.648
34.000000002993616,99.648,94.112
36.00000000332868,98.264,95.496
38.00000000366375,96.88,96.88
40.000000003998814,105.184,102.416
42.000000004333884,114.87199999999999,120.40799999999999
44.00000000466895,110.72,120.40799999999999
46.00000000500402,103.8,117.63999999999999
48.00000000533908,109.336,123.17599999999999
50.00000000567415,116.25599999999999,114.87199999999999
52.000000006009216,113.48799999999999,119.02399999999999
54.00000000634429,114.87199999999999,132.86399999999998
56.00000000667935,128.712,134.248
58.00000000701443,131.48,120.40799999999999
60.000000007349485,125.94399999999999,131.48
62.00000000768456,132.86399999999998,127.32799999999999
64.00000000697878,131.48,120.40799999999999
66.00000000592607,124.55999999999999,123.17599999999999
68.00000000487336,131.48,120.40799999999999
70.00000000382063,125.94399999999999,134.248
72.00000000276792,142.552,146.70399999999998
74.00000000171522,139.784,150.856
76.00000000066251,149.47199999999998,145.32
78.00000999960979,139.784,141.16799999999998
80.00000999855708,145.32,139.784
82.00000999750436,150.856,150.856
84.00000999645165,152.23999999999998,159.16
86.00000999539894,143.93599999999998,146.70399999999998
88.00000999434621,142.552,141.16799999999998
90.00000999329352,139.784,138.39999999999998
92.00000999224079,141.16799999999998,128.712
94.0000099911881,138.39999999999998,131.48
96.0000099901354,130.096,131.48
98.00000998908267,146.70399999999998,145.32
100.00000998802996,138.39999999999998,142.552
102.00000998697723,135.63199999999998,138.39999999999998
104.00000998592454,145.32,141.16799999999998
106.00000998487184,139.784,142.552
108.00000998381913,137.016,139.784
110.0000099827664,143.93599999999998,141.16799999999998
112.00000998171369,157.77599999999998,142.552
114.00000998066096,137.016,138.39999999999998
116.00000997960827,128.712,138.39999999999998
118.00000997855554,132.86399999999998,141.16799999999998
120.00000997750284,142.552,131.48
122.00000997645014,127.32799999999999,139.784
124.00000997539742,123.17599999999999,127.32799999999999
126.0000099743447,109.336,114.87199999999999
128.000009973292,110.72,105.184
130.0000099722393,105.184,117.63999999999999
132.00000997118659,110.72,112.10399999999998
134.00000997013387,109.336,98.264
136.00000996908116,107.952,113.48799999999999
138.00000996802845,91.344,105.184
140.00000996697574,84.42399999999999,105.184
142.00000996592303,89.96,92.728
144.00000996487032,95.496,91.344
146.0000099638176,92.728,91.344
148.0000099627649,95.496,103.8
150.00000996171215,106.568,106.568
152.00000996065947,96.88,110.72
154.00000995960676,101.032,110.72
156.00000995855405,114.87199999999999,114.87199999999999
158.00000995750133,141.16799999999998,130.096
160.00000995644862,135.63199999999998,132.86399999999998
162.0000099553959,130.096,135.63199999999998
164.0000099543432,128.712,130.096
166.0000099532905,124.55999999999999,131.48
168.00000995223775,128.712,134.248
170.00000995118506,134.248,143.93599999999998
172.00000995013235,139.784,135.63199999999998
174.00000994907967,145.32,134.248
176.00000994802693,143.93599999999998,138.39999999999998
178.00000994697422,146.70399999999998,148.088
180.0000099459215,148.088,131.48
182.00000994486882,141.16799999999998,141.16799999999998
184.00000994381608,152.23999999999998,149.47199999999998
186.00000994276337,150.856,152.23999999999998
188.00000994171066,150.856,156.392
190.00000994065795,145.32,142.552
192.00000993960526,156.392,138.39999999999998
194.0000099385525,139.784,125.94399999999999
196.0000099374998,156.392,153.624
198.0000099364471,160.54399999999998,148.088
200.00000993539442,160.54399999999998,163.31199999999998
202.00000993434168,148.088,159.16
204.00000993328896,148.088,159.16
206.00000993223625,141.16799999999998,149.47199999999998
208.00000993118357,135.63199999999998,139.784
210.0000099301308,134.248,143.93599999999998
212.00000992907812,135.63199999999998,142.552
214.0000099280254,139.784,145.32
216.0000099269727,149.47199999999998,143.93599999999998
218.00000992592,148.088,150.856
220.00000992486727,148.088,156.392
222.00000992381453,153.624,153.624
224.00000992276185,160.54399999999998,155.00799999999998
226.00000992170916,161.928,159.16
228.0000099206564,170.232,153.624
230.0000099196037,166.07999999999998,166.07999999999998
232.00000991855106,177.152,170.232
234.00000991749832,184.07199999999997,188.224
236.0000099164456,177.152,199.296
238.00000991539292,189.60799999999998,199.296
240.0000099143401,204.832,196.528
242.00000991328747,200.67999999999998,192.37599999999998
244.0000099122347,196.528,202.064
246.00000991118202,199.296,189.60799999999998
248.0000099101293,178.53599999999997,184.07199999999997
250.00000990907662,184.07199999999997,184.07199999999997
252.0000099080239,178.53599999999997,181.30399999999997
254.0000099069712,192.37599999999998,204.832
256.0000099059185,190.992,192.37599999999998
258.00000990486575,207.6,203.44799999999998
260.00000990381307,208.98399999999998,208.98399999999998
262.0000099027603,208.98399999999998,218.672
264.00000990170764,210.368,226.97599999999997
266.0000099006549,210.368,215.904
268.0000098996022,213.136,215.904
270.0000098985495,218.672,214.51999999999998
272.0000098974968,225.59199999999998,225.59199999999998
274.00000989644406,232.51199999999997,232.51199999999997
276.0000098953914,226.97599999999997,250.504
278.00000989433863,215.904,257.424
280.00000989328595,222.82399999999998,246.35199999999998
282.0000098922332,224.20799999999997,247.736
284.0000098911805,222.82399999999998,239.432
286.0000098901278,229.74399999999997,243.58399999999997
288.0000098890751,239.432,228.35999999999999
290.00000988802236,254.65599999999998,240.81599999999997
292.00000988696974,260.192,246.35199999999998
294.00000988591694,269.88,254.65599999999998
296.00000988486426,267.11199999999997,289.256
298.0000098838115,261.57599999999996,286.488
300.00000988275883,269.88,286.488
302.0000098817061,285.104,276.79999999999995
304.0000098806534,280.952,278.18399999999997
306.00000987960067,271.26399999999995,293.40799999999996
308.00000987854804,286.488,280.952
310.0000098774953,280.952,282.33599999999996
312.0000098764425,272.64799999999997,265.72799999999995
314.0000098753898,267.11199999999997,267.11199999999997
316.00000987433714,278.18399999999997,276.79999999999995
318.0000098732844,279.568,275.416
320.0000098722317,286.488,290.64
322.0000098711789,283.71999999999997,298.94399999999996
324.0000098701263,289.256,310.01599999999996
326.0000098690736,285.104,314.16799999999995
328.0000098680209,290.64,314.16799999999995
330.00000986696807,301.712,304.47999999999996
332.00000986591544,314.16799999999995,318.32
334.0000098648627,316.936,316.936
336.00000986381,326.62399999999997,334.928
338.0000098627573,336.31199999999995,340.464
340.0000098617046,343.23199999999997,352.91999999999996
342.00000986065186,350.152,347.38399999999996
344.00000985959923,352.91999999999996,361.224
346.00000985854643,341.84799999999996,363.99199999999996
348.0000098574937,352.91999999999996,358.45599999999996
350.000009856441,357.07199999999995,355.688
352.0000098553883,351.536,361.224
354.0000098543356,359.84,359.84
356.0000098532829,359.84,369.52799999999996
358.00000985223016,368.14399999999995,362.60799999999995
360.00000985117754,383.368,377.832
362.0000098501248,373.67999999999995,401.35999999999996
364.0000098490721,373.67999999999995,391.67199999999997
366.0000098480193,373.67999999999995,379.21599999999995
368.00000984696663,386.13599999999997,388.904
370.0000098459139,391.67199999999997,406.89599999999996
372.0000098448612,399.97599999999994,413.816
374.00000984380847,402.74399999999997,422.11999999999995
376.0000098427558,423.50399999999996,415.2
378.0000098417031,417.96799999999996,424.888
380.0000098406504,423.50399999999996,415.2
382.00000983959757,423.50399999999996,426.272
384.0000098385449,438.72799999999995,433.19199999999995
386.0000098374922,453.95199999999994,448.41599999999994
388.0000098364395,465.02399999999994,455.33599999999996
390.0000098353868,460.87199999999996,448.41599999999994
392.0000098343341,460.87199999999996,451.18399999999997
394.00000983328135,463.64,453.95199999999994
396.0000098322287,467.792,465.02399999999994
398.000009831176,469.176,466.40799999999996
400.0000098301232,485.784,462.256
