# time	tot_Nck	free_Nck	tot_NWASP	free_NWASP	tot_Nephrin	free_Nephrin	cluster_123
0.000000e+00 6.000000e+02 6.000000e+02 3.000000e+02 3.000000e+02 2.000000e+02 2.000000e+02 0.000000e+00
5.000000e-03 6.000000e+02 3.315000e+02 3.000000e+02 1.050000e+02 2.000000e+02 1.677000e+02 1.460000e+01
1.000000e-02 6.000000e+02 2.473000e+02 3.000000e+02 6.090000e+01 2.000000e+02 1.526000e+02 2.650000e+01
1.500000e-02 6.000000e+02 2.153000e+02 3.000000e+02 4.910000e+01 2.000000e+02 1.430000e+02 3.460000e+01
2.000000e-02 6.000000e+02 2.067000e+02 3.000000e+02 4.320000e+01 2.000000e+02 1.364000e+02 4.030000e+01
2.500000e-02 6.000000e+02 2.025000e+02 3.000000e+02 4.490000e+01 2.000000e+02 1.333000e+02 4.130000e+01
3.000000e-02 6.000000e+02 2.085000e+02 3.000000e+02 4.580000e+01 2.000000e+02 1.330000e+02 4.370000e+01
3.500000e-02 6.000000e+02 2.069000e+02 3.000000e+02 4.540000e+01 2.000000e+02 1.301000e+02 4.230000e+01
4.000000e-02 6.000000e+02 2.112000e+02 3.000000e+02 4.790000e+01 2.000000e+02 1.316000e+02 4.480000e+01
4.500000e-02 6.000000e+02 2.071000e+02 3.000000e+02 4.800000e+01 2.000000e+02 1.306000e+02 4.650000e+01
5.000000e-02 6.000000e+02 2.056000e+02 3.000000e+02 4.500000e+01 2.000000e+02 1.307000e+02 4.410000e+01
5.500000e-02 6.000000e+02 2.045000e+02 3.000000e+02 4.510000e+01 2.000000e+02 1.310000e+02 4.380000e+01
6.000000e-02 6.000000e+02 2.078000e+02 3.000000e+02 4.700000e+01 2.000000e+02 1.302000e+02 4.200000e+01
6.500000e-02 6.000000e+02 1.977000e+02 3.000000e+02 4.400000e+01 2.000000e+02 1.301000e+02 4.240000e+01
7.000000e-02 6.000000e+02 2.006000e+02 3.000000e+02 4.400000e+01 2.000000e+02 1.299000e+02 4.380000e+01
7.500000e-02 6.000000e+02 2.035000e+02 3.000000e+02 4.550000e+01 2.000000e+02 1.326000e+02 4.230000e+01
8.000000e-02 6.000000e+02 2.049000e+02 3.000000e+02 4.270000e+01 2.000000e+02 1.304000e+02 4.510000e+01
8.500000e-02 6.000000e+02 2.057000e+02 3.000000e+02 4.610000e+01 2.000000e+02 1.329000e+02 4.430000e+01
9.000000e-02 6.000000e+02 2.023000e+02 3.000000e+02 4.200000e+01 2.000000e+02 1.326000e+02 4.490000e+01
