Cluster size,frequency,foTM
1,0.7088995215311005,0.3367272727272727
2,0.1295693779904306,0.12309090909090908
3,0.05454545454545454,0.07772727272727273
4,0.030047846889952153,0.05709090909090909
5,0.018373205741626795,0.04363636363636364
6,0.014736842105263158,0.042
7,0.006507177033492823,0.021636363636363638
8,0.005167464114832536,0.019636363636363636
9,0.004784688995215311,0.020454545454545454
10,0.0036363636363636364,0.017272727272727273
11,0.004401913875598086,0.023
12,0.002105263157894737,0.012
13,0.0011483253588516747,0.007090909090909091
14,0.002488038277511962,0.016545454545454547
15,0.0011483253588516747,0.008181818181818182
16,0.0003827751196172249,0.002909090909090909
17,0.0007655502392344498,0.0061818181818181816
18,0.0011483253588516747,0.009818181818181818
19,0.0011483253588516747,0.010363636363636363
20,0.0011483253588516747,0.01090909090909091
21,0.0011483253588516747,0.011454545454545455
22,0.0005741626794258373,0.006
23,0.0005741626794258373,0.006272727272727272
24,0.0005741626794258373,0.006545454545454545
26,0.0003827751196172249,0.0047272727272727275
27,0.0003827751196172249,0.004909090909090909
28,0.00019138755980861245,0.0025454545454545456
31,0.00019138755980861245,0.002818181818181818
33,0.0003827751196172249,0.006
34,0.0005741626794258373,0.009272727272727273
35,0.00019138755980861245,0.003181818181818182
36,0.0003827751196172249,0.006545454545454545
37,0.00019138755980861245,0.003363636363636364
42,0.00019138755980861245,0.0038181818181818182
45,0.00019138755980861245,0.004090909090909091
48,0.0003827751196172249,0.008727272727272728
50,0.00019138755980861245,0.004545454545454545
56,0.00019138755980861245,0.005090909090909091
60,0.00019138755980861245,0.005454545454545455
67,0.00019138755980861245,0.006090909090909091
71,0.00019138755980861245,0.006454545454545454
84,0.00019138755980861245,0.0076363636363636364
90,0.00019138755980861245,0.008181818181818182
