Cluster size,counts
1,3704
2,677
3,285
4,157
5,96
6,77
7,34
8,27
9,25
10,19
11,23
12,11
13,6
14,13
15,6
16,2
17,4
18,6
19,6
20,6
21,6
22,3
23,3
24,3
26,2
27,2
28,1
31,1
33,2
34,3
35,1
36,2
37,1
42,1
45,1
48,2
50,1
56,1
60,1
67,1
71,1
84,1
90,1
