Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,36.5,34.7
0.1,44.7,44.0
0.15,51.900000000000006,47.6
0.2,49.1,50.7
0.25,52.300000000000004,55.5
0.3,51.300000000000004,52.6
0.35,49.800000000000004,54.300000000000004
0.4,46.7,48.400000000000006
0.45,57.1,58.6
0.5,58.5,57.2
0.55,62.6,62.900000000000006
0.6,58.400000000000006,59.400000000000006
0.65,61.300000000000004,60.1
0.7,59.400000000000006,60.400000000000006
0.75,58.6,59.800000000000004
0.8,61.800000000000004,59.800000000000004
0.85,58.0,58.5
0.9,53.6,55.300000000000004
0.95,55.0,54.6
1.0,54.300000000000004,52.800000000000004
1.05,57.1,55.1
1.1,53.6,55.800000000000004
1.15,55.300000000000004,55.800000000000004
1.2,48.900000000000006,48.400000000000006
1.25,47.1,46.400000000000006
1.3,52.900000000000006,51.5
1.35,48.6,48.5
1.4,52.1,50.400000000000006
1.45,47.800000000000004,49.300000000000004
1.5,52.0,47.0
1.55,49.0,47.6
1.6,45.800000000000004,47.900000000000006
1.65,46.2,46.2
1.7,49.400000000000006,49.7
1.75,54.5,53.900000000000006
1.8,59.400000000000006,58.2
1.85,58.5,57.2
1.9,58.7,58.5
1.95,55.400000000000006,56.300000000000004
2.0,54.6,54.1
2.05,56.2,57.5
2.1,59.0,56.800000000000004
2.15,57.400000000000006,52.800000000000004
2.2,54.6,51.400000000000006
2.25,48.5,48.0
2.3,56.400000000000006,57.6
2.35,58.300000000000004,55.300000000000004
2.4,59.2,58.2
2.45,58.5,56.400000000000006
2.5,59.2,61.7
2.55,64.2,67.3
2.6,68.9,68.7
2.65,70.60000000000001,74.7
2.7,74.0,75.0
2.75,69.2,68.9
2.8,71.0,67.60000000000001
2.85,62.1,60.7
2.9,62.0,63.0
2.95,58.300000000000004,55.7
3.0,58.900000000000006,55.2
3.05,55.800000000000004,57.400000000000006
3.1,60.5,60.7
3.15,61.6,60.900000000000006
3.2,57.0,55.1
3.25,55.300000000000004,53.6
3.3,56.900000000000006,56.900000000000006
3.35,52.5,54.900000000000006
3.4,59.2,57.300000000000004
3.45,60.800000000000004,60.7
3.5,63.0,60.1
3.55,65.10000000000001,65.9
3.6,60.900000000000006,56.6
3.65,55.400000000000006,55.7
3.7,53.2,53.900000000000006
3.75,52.2,55.7
3.8,55.2,54.7
3.85,51.5,50.400000000000006
3.9,46.300000000000004,45.2
3.95,48.7,47.2
4.0,44.0,43.5
4.05,47.900000000000006,46.5
4.1,48.800000000000004,49.1
4.15,48.6,51.400000000000006
4.2,52.1,53.2
4.25,53.0,54.0
4.3,50.6,52.800000000000004
4.35,52.1,47.300000000000004
4.4,56.800000000000004,56.7
4.45,59.1,58.300000000000004
4.5,60.400000000000006,58.7
4.55,50.400000000000006,49.2
4.6,46.7,45.2
4.65,53.400000000000006,51.2
4.7,54.6,54.2
4.75,56.0,56.0
4.8,62.300000000000004,62.900000000000006
4.85,58.300000000000004,56.2
4.9,56.5,54.7
4.95,61.800000000000004,62.1
5.0,64.2,63.0
5.05,59.2,56.6
5.1,64.3,62.2
5.15,57.400000000000006,58.1
5.2,52.1,54.0
5.25,49.2,51.800000000000004
5.3,56.1,56.400000000000006
5.35,52.2,53.1
5.4,51.900000000000006,51.400000000000006
5.45,53.300000000000004,52.1
5.5,53.5,52.2
5.55,59.7,59.900000000000006
5.6,58.300000000000004,58.2
5.65,59.7,60.6
5.7,64.8,67.10000000000001
5.75,63.300000000000004,64.5
5.8,65.7,63.800000000000004
5.85,62.800000000000004,64.3
5.9,58.300000000000004,60.6
5.95,56.400000000000006,54.2
6.0,58.1,60.800000000000004
6.05,64.9,64.4
6.1,67.0,65.5
6.15,71.8,71.0
6.2,71.4,70.8
6.25,63.7,62.300000000000004
6.3,63.6,60.7
