Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,28.900000000000002,30.200000000000003
0.1,34.7,34.4
0.15,40.400000000000006,40.400000000000006
0.2,46.900000000000006,46.6
0.25,46.300000000000004,46.5
0.3,49.400000000000006,50.0
0.35,49.300000000000004,50.400000000000006
0.4,49.0,51.300000000000004
0.45,48.300000000000004,50.7
0.5,53.300000000000004,54.0
0.55,57.6,58.5
0.6,60.0,61.300000000000004
0.65,55.300000000000004,57.800000000000004
0.7,57.0,58.0
0.75,63.0,60.2
0.8,53.900000000000006,57.0
0.85,54.6,56.0
0.9,53.6,54.1
0.95,60.2,61.900000000000006
1.0,61.5,60.7
1.05,62.6,63.400000000000006
1.1,64.5,63.7
1.15,65.2,65.7
1.2,64.9,64.5
1.25,62.2,64.2
1.3,57.7,58.400000000000006
1.35,61.300000000000004,61.800000000000004
1.4,65.2,64.0
1.45,67.3,67.8
1.5,62.0,63.0
1.55,60.5,63.7
1.6,67.5,66.0
1.65,63.400000000000006,61.5
1.7,64.3,65.5
1.75,68.2,68.3
1.8,71.10000000000001,70.4
1.85,71.0,69.0
1.9,60.900000000000006,62.0
1.95,60.400000000000006,59.2
2.0,60.1,58.2
2.05,59.0,56.0
2.1,67.4,64.7
2.15,59.1,59.400000000000006
2.2,56.6,57.2
2.25,50.900000000000006,54.2
2.3,53.2,51.7
2.35,51.300000000000004,53.2
2.4,50.5,54.0
2.45,61.800000000000004,60.0
2.5,54.400000000000006,51.900000000000006
2.55,48.6,53.2
2.6,56.2,58.0
2.65,61.0,58.2
2.7,56.7,59.400000000000006
2.75,57.5,58.900000000000006
2.8,59.5,55.1
2.85,50.1,53.1
2.9,59.2,58.2
2.95,57.1,56.1
3.0,58.7,57.300000000000004
3.05,53.800000000000004,55.7
3.1,50.0,51.300000000000004
3.15,57.5,53.6
3.2,54.7,53.300000000000004
3.25,51.1,48.5
3.3,52.7,52.5
3.35,53.6,51.800000000000004
3.4,57.800000000000004,55.0
3.45,56.0,55.800000000000004
3.5,51.5,54.400000000000006
3.55,52.900000000000006,52.800000000000004
3.6,57.0,53.6
3.65,55.300000000000004,56.400000000000006
3.7,58.1,54.6
3.75,55.0,55.7
3.8,58.300000000000004,54.6
3.85,51.7,53.800000000000004
3.9,57.0,57.5
3.95,51.2,49.2
4.0,45.900000000000006,45.5
4.05,44.5,45.300000000000004
4.1,43.900000000000006,41.6
4.15,47.5,47.400000000000006
4.2,51.6,49.6
4.25,52.800000000000004,51.6
4.3,50.6,47.400000000000006
4.35,44.1,49.2
4.4,52.900000000000006,51.800000000000004
4.45,54.7,53.6
4.5,55.2,55.400000000000006
4.55,54.1,53.1
4.6,54.2,51.400000000000006
4.65,45.800000000000004,51.6
4.7,48.5,49.400000000000006
4.75,48.7,50.400000000000006
4.8,44.900000000000006,46.2
4.85,44.6,45.300000000000004
4.9,49.7,52.5
4.95,47.800000000000004,43.900000000000006
5.0,45.0,40.6
5.05,44.1,42.900000000000006
