Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,26.700000000000003,29.900000000000002
0.1,39.7,38.1
0.15,42.900000000000006,44.1
0.2,49.400000000000006,49.1
0.25,50.0,52.2
0.3,47.6,47.0
0.35,55.5,51.0
0.4,52.6,53.2
0.45,58.400000000000006,56.6
0.5,55.300000000000004,54.400000000000006
0.55,57.1,59.1
0.6,56.0,55.400000000000006
0.65,47.900000000000006,50.2
0.7,54.400000000000006,54.5
0.75,47.800000000000004,48.0
0.8,45.7,45.6
0.85,54.2,56.800000000000004
0.9,50.400000000000006,52.800000000000004
0.95,49.5,50.7
1.0,46.300000000000004,43.7
1.05,38.2,41.800000000000004
1.1,42.800000000000004,40.7
1.15,48.1,47.2
1.2,46.300000000000004,49.2
1.25,44.300000000000004,47.6
1.3,45.2,44.2
1.35,48.5,48.300000000000004
1.4,51.0,48.800000000000004
1.45,51.0,52.6
1.5,50.2,55.5
1.55,58.7,59.900000000000006
1.6,55.400000000000006,54.1
1.65,59.5,60.300000000000004
1.7,62.5,62.400000000000006
1.75,63.5,61.6
1.8,62.2,61.6
1.85,65.2,63.6
1.9,58.7,55.6
1.95,55.2,55.7
2.0,52.400000000000006,53.800000000000004
2.05,53.0,55.2
2.1,53.2,54.0
2.15,52.800000000000004,54.2
2.2,55.6,54.0
2.25,55.5,57.900000000000006
2.3,58.6,58.900000000000006
2.35,65.3,67.7
2.4,63.0,63.0
2.45,64.4,66.7
2.5,59.2,57.900000000000006
2.55,58.5,57.300000000000004
2.6,58.0,56.800000000000004
2.65,59.300000000000004,58.1
2.7,54.800000000000004,55.5
2.75,57.1,57.6
2.8,51.400000000000006,51.2
2.85,56.5,58.900000000000006
2.9,56.2,59.0
2.95,59.900000000000006,58.300000000000004
3.0,53.5,53.6
3.05,54.400000000000006,54.6
3.1,57.800000000000004,58.5
3.15,58.1,58.7
3.2,62.1,60.7
3.25,55.7,54.6
3.3,59.1,60.0
3.35,59.300000000000004,60.1
3.4,60.2,60.6
3.45,61.0,61.800000000000004
3.5,69.3,66.7
3.55,65.10000000000001,66.7
3.6,66.3,66.8
3.65,68.4,63.900000000000006
3.7,69.9,68.7
3.75,67.9,67.3
3.8,57.300000000000004,56.900000000000006
3.85,51.5,54.400000000000006
3.9,57.300000000000004,55.5
3.95,56.6,56.5
4.0,55.0,53.7
4.05,55.7,53.800000000000004
4.1,63.7,67.0
4.15,66.7,64.9
4.2,64.0,65.5
4.25,56.900000000000006,59.300000000000004
4.3,57.300000000000004,56.300000000000004
4.35,52.7,52.400000000000006
4.4,56.800000000000004,55.6
4.45,61.300000000000004,61.7
4.5,60.6,62.1
4.55,61.7,62.0
4.6,65.60000000000001,65.10000000000001
4.65,58.800000000000004,59.5
4.7,66.9,67.0
4.75,67.8,67.9
4.8,67.4,66.10000000000001
4.85,69.2,67.2
4.9,62.5,62.1
4.95,63.0,61.0
5.0,61.0,64.3
5.05,57.400000000000006,56.5
5.1,55.7,55.0
5.15,50.300000000000004,53.900000000000006
5.2,49.0,50.900000000000006
5.25,50.7,50.1
5.3,46.5,46.7
5.35,52.900000000000006,49.7
5.4,55.300000000000004,57.300000000000004
5.45,59.300000000000004,62.2
5.5,56.5,54.0
5.55,55.1,54.1
5.6,52.300000000000004,52.400000000000006
5.65,50.900000000000006,55.400000000000006
5.7,56.400000000000006,58.800000000000004
5.75,52.7,51.900000000000006
5.8,51.2,53.400000000000006
5.85,53.5,48.0
5.9,50.900000000000006,50.2
5.95,50.0,51.7
6.0,43.0,47.6
6.05,47.5,50.6
6.1,47.300000000000004,49.6
6.15,51.300000000000004,47.1
6.2,49.5,50.0
6.25,49.400000000000006,51.2
6.3,45.300000000000004,44.2
6.35,47.6,48.1
6.4,45.0,48.5
6.45,41.400000000000006,44.300000000000004
6.5,47.5,45.900000000000006
6.55,52.0,50.300000000000004
6.6,50.6,52.5
6.65,54.5,54.6
6.7,57.2,56.6
6.75,56.2,57.900000000000006
6.8,55.2,55.7
6.85,51.6,49.7
6.9,51.5,51.900000000000006
6.95,47.800000000000004,49.2
7.0,52.400000000000006,53.7
7.05,47.5,48.5
7.1,49.6,49.6
7.15,48.1,46.6
7.2,51.300000000000004,52.800000000000004
7.25,53.400000000000006,53.6
7.3,53.800000000000004,55.400000000000006
7.35,51.900000000000006,54.2
7.4,53.400000000000006,50.1
7.45,49.6,51.1
7.5,46.300000000000004,43.5
7.55,51.0,50.400000000000006
7.6,49.900000000000006,51.1
7.65,58.300000000000004,58.6
7.7,57.800000000000004,61.7
7.75,63.400000000000006,62.7
7.8,60.400000000000006,58.0
7.85,59.300000000000004,58.800000000000004
7.9,64.60000000000001,64.10000000000001
7.95,65.7,65.10000000000001
8.0,59.5,61.6
8.05,60.300000000000004,57.1
8.1,62.7,64.10000000000001
8.15,58.2,60.7
8.2,52.6,53.2
8.25,50.900000000000006,52.800000000000004
8.3,51.2,51.0
8.35,53.400000000000006,55.1
8.4,55.7,53.400000000000006
8.45,58.1,56.0
8.5,63.400000000000006,63.7
8.55,55.800000000000004,55.1
8.6,54.6,52.7
8.65,58.7,55.5
8.7,53.900000000000006,55.1
8.75,53.0,50.7
8.8,49.800000000000004,50.2
8.85,49.900000000000006,49.1
8.9,47.0,47.5
8.95,47.300000000000004,46.6
