Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,30.8,31.400000000000002
0.1,40.6,41.6
0.15,38.7,38.6
0.2,46.1,47.0
0.25,49.1,49.400000000000006
0.3,45.5,45.2
0.35,50.2,48.6
0.4,46.400000000000006,43.1
0.45,52.2,50.400000000000006
0.5,54.300000000000004,56.0
0.55,55.400000000000006,59.0
0.6,62.6,60.900000000000006
0.65,52.5,53.0
0.7,58.300000000000004,56.2
0.75,54.900000000000006,56.0
0.8,62.7,60.800000000000004
0.85,61.2,62.7
0.9,63.800000000000004,61.7
0.95,63.7,63.900000000000006
1.0,64.9,66.4
1.05,64.8,67.7
1.1,70.0,69.9
1.15,62.2,66.9
1.2,57.300000000000004,59.900000000000006
1.25,53.900000000000006,56.7
1.3,55.6,56.2
1.35,58.5,59.6
1.4,57.2,56.0
1.45,58.300000000000004,57.7
1.5,56.900000000000006,56.400000000000006
1.55,60.6,62.7
1.6,59.1,61.1
1.65,55.900000000000006,53.900000000000006
1.7,55.6,55.300000000000004
1.75,54.800000000000004,54.5
1.8,63.800000000000004,59.2
1.85,58.800000000000004,60.5
1.9,57.800000000000004,58.5
1.95,63.0,62.800000000000004
2.0,66.9,67.60000000000001
2.05,62.2,62.900000000000006
2.1,62.300000000000004,63.900000000000006
2.15,67.0,69.5
2.2,68.4,71.3
2.25,62.7,62.400000000000006
2.3,65.10000000000001,66.2
2.35,59.2,61.300000000000004
2.4,58.7,60.5
2.45,57.7,54.7
2.5,58.2,60.2
2.55,56.2,55.6
2.6,54.6,54.400000000000006
2.65,54.400000000000006,58.400000000000006
2.7,54.6,53.800000000000004
2.75,50.1,47.6
2.8,50.6,48.7
2.85,51.400000000000006,52.6
2.9,54.7,56.5
2.95,55.6,54.5
3.0,48.400000000000006,50.400000000000006
3.05,42.1,41.2
3.1,42.1,41.7
3.15,43.5,44.400000000000006
3.2,45.0,43.300000000000004
3.25,41.800000000000004,40.6
3.3,48.900000000000006,47.300000000000004
3.35,51.300000000000004,54.400000000000006
3.4,48.7,48.900000000000006
3.45,54.6,55.6
3.5,58.300000000000004,57.0
3.55,52.900000000000006,50.900000000000006
3.6,50.7,51.800000000000004
3.65,53.900000000000006,57.2
3.7,52.6,56.0
3.75,55.400000000000006,54.300000000000004
3.8,55.800000000000004,52.0
3.85,47.300000000000004,47.900000000000006
3.9,49.2,48.1
3.95,54.6,57.6
4.0,57.6,58.5
4.05,61.7,58.900000000000006
4.1,51.800000000000004,54.400000000000006
4.15,53.300000000000004,53.0
4.2,51.800000000000004,51.300000000000004
4.25,51.5,50.1
4.3,52.2,51.400000000000006
4.35,52.5,52.7
4.4,56.2,57.800000000000004
4.45,55.2,53.7
4.5,55.6,51.400000000000006
4.55,50.900000000000006,50.5
4.6,51.6,51.800000000000004
4.65,47.6,46.800000000000004
4.7,45.400000000000006,46.400000000000006
4.75,54.2,55.800000000000004
4.8,51.800000000000004,49.400000000000006
4.85,54.5,54.800000000000004
4.9,55.900000000000006,55.800000000000004
4.95,55.7,54.300000000000004
5.0,52.1,49.0
5.05,56.0,56.800000000000004
5.1,52.2,55.7
5.15,53.2,56.5
5.2,55.1,54.0
5.25,49.1,46.0
5.3,56.2,56.800000000000004
5.35,50.900000000000006,49.900000000000006
5.4,51.5,51.5
5.45,57.0,58.2
5.5,61.900000000000006,60.900000000000006
5.55,67.2,65.4
5.6,66.5,68.7
5.65,63.300000000000004,61.7
5.7,62.900000000000006,65.3
5.75,60.0,56.900000000000006
5.8,59.5,58.5
5.85,62.300000000000004,61.400000000000006
5.9,57.5,57.900000000000006
5.95,56.900000000000006,58.5
6.0,57.300000000000004,57.400000000000006
6.05,53.400000000000006,55.800000000000004
6.1,60.0,59.2
6.15,57.0,54.900000000000006
6.2,54.0,51.6
6.25,53.800000000000004,51.300000000000004
