Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,29.0,27.400000000000002
0.1,39.0,39.7
0.15,39.7,42.2
0.2,45.800000000000004,43.900000000000006
0.25,45.1,42.800000000000004
0.3,43.400000000000006,48.5
0.35,49.800000000000004,53.7
0.4,54.400000000000006,53.800000000000004
0.45,54.800000000000004,55.2
0.5,55.7,55.1
0.55,52.400000000000006,53.900000000000006
0.6,50.800000000000004,51.400000000000006
0.65,47.2,49.1
0.7,46.6,48.2
0.75,48.2,46.0
0.8,53.0,54.400000000000006
0.85,50.6,53.300000000000004
0.9,56.7,54.900000000000006
0.95,56.5,53.5
1.0,56.800000000000004,57.6
1.05,54.5,52.1
1.1,53.300000000000004,55.400000000000006
1.15,56.400000000000006,55.300000000000004
1.2,56.7,58.1
1.25,62.0,59.2
1.3,67.4,64.8
1.35,61.7,63.0
1.4,69.0,64.60000000000001
1.45,69.4,71.7
1.5,73.10000000000001,72.60000000000001
1.55,71.4,71.7
1.6,76.2,73.8
1.65,74.7,74.0
1.7,73.5,74.5
1.75,69.7,67.9
1.8,70.8,72.7
1.85,67.0,66.5
1.9,70.4,70.3
1.95,68.0,67.8
2.0,57.6,59.5
2.05,53.7,53.2
2.1,51.300000000000004,51.2
2.15,53.800000000000004,54.400000000000006
2.2,53.0,50.900000000000006
2.25,55.300000000000004,55.7
2.3,52.7,50.7
2.35,49.400000000000006,46.900000000000006
2.4,50.400000000000006,51.0
2.45,51.5,50.2
2.5,50.2,48.300000000000004
2.55,46.7,45.6
2.6,48.0,45.400000000000006
2.65,55.2,54.0
2.7,57.5,58.5
2.75,52.7,50.800000000000004
2.8,48.2,46.0
2.85,46.6,45.900000000000006
2.9,41.6,42.300000000000004
2.95,45.900000000000006,47.6
3.0,46.7,47.5
3.05,52.6,50.1
3.1,53.5,57.300000000000004
3.15,53.300000000000004,52.900000000000006
3.2,56.300000000000004,56.800000000000004
3.25,54.5,54.6
3.3,54.5,52.900000000000006
3.35,54.800000000000004,57.300000000000004
3.4,53.0,52.800000000000004
3.45,49.400000000000006,52.7
3.5,55.2,52.0
3.55,58.5,60.800000000000004
3.6,62.800000000000004,58.800000000000004
3.65,53.2,48.7
3.7,49.1,50.2
3.75,51.5,49.5
3.8,47.900000000000006,47.300000000000004
3.85,45.800000000000004,50.0
3.9,51.7,52.5
3.95,48.0,43.6
4.0,45.400000000000006,48.7
4.05,51.800000000000004,51.0
4.1,54.0,55.7
4.15,52.1,54.6
4.2,54.5,54.6
4.25,54.800000000000004,53.2
4.3,63.6,63.5
4.35,55.6,56.300000000000004
4.4,59.400000000000006,59.7
4.45,60.400000000000006,61.1
4.5,57.300000000000004,55.7
4.55,57.800000000000004,60.2
4.6,55.5,54.5
4.65,56.2,56.300000000000004
4.7,55.800000000000004,58.400000000000006
4.75,50.5,53.5
4.8,54.300000000000004,53.1
4.85,48.800000000000004,49.7
4.9,51.300000000000004,52.900000000000006
4.95,50.2,49.7
5.0,52.2,54.6
5.05,47.400000000000006,47.900000000000006
5.1,47.900000000000006,47.1
5.15,45.7,43.400000000000006
5.2,47.800000000000004,45.400000000000006
5.25,50.400000000000006,50.1
5.3,46.7,51.5
5.35,50.0,52.6
5.4,51.900000000000006,53.5
5.45,53.7,58.7
5.5,54.400000000000006,53.2
5.55,60.5,57.7
5.6,60.1,57.7
5.65,58.900000000000006,61.1
5.7,56.6,58.1
5.75,52.400000000000006,52.900000000000006
5.8,59.300000000000004,57.400000000000006
5.85,54.2,53.800000000000004
5.9,50.7,52.800000000000004
5.95,54.800000000000004,52.900000000000006
6.0,54.900000000000006,56.2
6.05,53.6,54.0
6.1,59.800000000000004,56.800000000000004
6.15,57.2,57.2
6.2,57.800000000000004,54.7
6.25,54.900000000000006,55.300000000000004
6.3,48.900000000000006,48.7
6.35,47.7,51.2
6.4,44.5,45.400000000000006
6.45,45.400000000000006,43.400000000000006
6.5,43.1,43.1
6.55,47.400000000000006,46.6
6.6,45.300000000000004,44.7
6.65,49.0,50.0
6.7,49.900000000000006,51.300000000000004
6.75,52.800000000000004,54.800000000000004
6.8,53.400000000000006,52.0
6.85,52.7,53.2
6.9,54.800000000000004,54.800000000000004
6.95,56.5,53.400000000000006
7.0,56.6,57.300000000000004
7.05,54.900000000000006,54.7
7.1,54.1,57.6
7.15,53.7,52.5
7.2,57.0,58.0
7.25,51.0,52.900000000000006
7.3,54.300000000000004,56.0
7.35,48.2,49.900000000000006
7.4,45.7,44.800000000000004
7.45,52.0,53.1
7.5,56.1,53.900000000000006
7.55,53.900000000000006,53.5
7.6,51.900000000000006,55.5
7.65,51.2,48.0
7.7,50.7,49.900000000000006
7.75,55.6,54.6
7.8,51.5,50.1
7.85,51.900000000000006,50.7
7.9,49.400000000000006,48.1
7.95,52.400000000000006,48.0
8.0,50.300000000000004,51.400000000000006
8.05,46.0,48.800000000000004
8.1,45.2,43.900000000000006
8.15,43.6,45.800000000000004
8.2,42.300000000000004,43.2
8.25,47.6,48.2
8.3,49.800000000000004,50.5
8.35,54.1,53.1
8.4,49.2,48.800000000000004
8.45,48.6,48.300000000000004
8.5,47.7,49.1
8.55,50.400000000000006,51.300000000000004
8.6,54.800000000000004,57.800000000000004
8.65,51.7,51.800000000000004
8.7,50.800000000000004,52.5
8.75,51.2,50.1
8.8,51.300000000000004,49.0
8.85,53.2,51.0
8.9,52.400000000000006,53.400000000000006
8.95,54.900000000000006,53.7
9.0,52.5,52.6
9.05,47.800000000000004,46.2
9.1,51.2,49.5
9.15,55.7,55.5
9.2,51.300000000000004,51.400000000000006
9.25,52.6,48.1
9.3,52.1,50.800000000000004
9.35,50.5,46.6
9.4,54.800000000000004,52.900000000000006
9.45,45.2,45.5
9.5,43.6,43.2
9.55,46.800000000000004,44.400000000000006
9.6,47.2,44.300000000000004
9.65,44.1,40.400000000000006
9.7,46.7,44.2
9.75,45.1,46.7
9.8,51.400000000000006,49.7
9.85,49.7,47.0
9.9,49.6,48.2
9.95,53.5,55.2
10.0,57.0,55.7
