Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,28.8,28.1
0.1,36.1,37.300000000000004
0.15,43.400000000000006,45.7
0.2,46.800000000000004,41.800000000000004
0.25,40.5,40.6
0.3,44.1,46.6
0.35,48.900000000000006,44.6
0.4,50.1,50.6
0.45,54.7,51.2
0.5,52.7,49.7
0.55,50.2,47.400000000000006
0.6,53.2,50.2
0.65,52.1,51.6
0.7,48.800000000000004,49.1
0.75,48.800000000000004,46.900000000000006
0.8,50.400000000000006,49.5
0.85,51.400000000000006,51.900000000000006
0.9,51.2,49.6
0.95,50.7,51.6
1.0,55.7,54.800000000000004
1.05,46.7,48.1
1.1,48.400000000000006,50.400000000000006
1.15,51.400000000000006,51.6
1.2,46.300000000000004,47.5
1.25,50.6,48.300000000000004
1.3,48.900000000000006,47.300000000000004
1.35,50.5,50.800000000000004
1.4,49.900000000000006,49.7
1.45,52.800000000000004,52.7
1.5,57.5,58.900000000000006
1.55,56.7,58.6
1.6,56.300000000000004,57.800000000000004
1.65,59.1,60.300000000000004
1.7,65.8,63.7
1.75,67.10000000000001,68.4
1.8,61.7,58.900000000000006
1.85,64.2,65.7
1.9,65.2,63.400000000000006
1.95,63.5,64.9
2.0,62.300000000000004,61.0
2.05,57.800000000000004,55.400000000000006
2.1,53.2,56.300000000000004
2.15,57.900000000000006,56.800000000000004
2.2,53.2,51.800000000000004
2.25,53.800000000000004,53.0
2.3,57.0,56.6
2.35,60.0,62.7
2.4,60.7,62.7
2.45,58.900000000000006,59.900000000000006
2.5,55.400000000000006,53.6
2.55,52.1,51.7
2.6,53.900000000000006,53.6
2.65,49.900000000000006,50.1
2.7,47.1,48.300000000000004
2.75,51.5,53.800000000000004
2.8,53.900000000000006,54.300000000000004
2.85,51.300000000000004,49.300000000000004
2.9,48.400000000000006,47.5
2.95,47.7,50.2
3.0,48.7,51.2
3.05,49.6,46.7
3.1,51.2,51.5
3.15,53.2,56.2
3.2,51.7,51.2
3.25,55.400000000000006,57.6
3.3,58.900000000000006,60.1
3.35,61.1,62.5
3.4,59.2,58.1
3.45,53.300000000000004,54.5
3.5,56.1,54.5
